OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,Input_Channel,Output_Channel,Kernel_Szie,Input_Size,Stride,Padding
conv,2.1176319122314453,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile244n_nt_v1,83.6,10.45,209,1,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile244n_nt_v1",38,893,326,3,5,1,1
conv,8.322325706481934,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x32_3dconv_fprop_small_nn_v0,39.6,9.9,11,18,1,128,1,1,cu121,;void cask_cudnn_infer::computeoffsetskernel3d<false>(cask_cudnn_infer::computeoffsetsparams);cask_cudnn_infer::computeboffsetskernel(cask_cudnn_infer::computeboffsetsparams);cudnn_infer_maxwell_scudnn_128x32_3dconv_fprop_small_nn_v0,55,1701,569,3,5,1,1
conv,2.8639679749806723,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_nn,280.8,140.4,3,26,36,64,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);maxwell_sgemm_64x64_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",47,187,1622,3,8,1,1
conv,1.2114346822102864,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,288.0,36.0,120,3,2,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",5,119,758,3,24,1,1
conv,0.9800106684366862,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile228n_nt_v1,34.8,4.35,29,3,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile228n_nt_v1",58,1263,13,3,9,1,1
conv,0.07859199742476146,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,7.2,1.8,2,18,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",3,16,1092,3,8,1,1
conv,1.4203946987787883,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,9.6,2.4,12,4,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",41,741,221,3,6,1,1
conv,8.693301518758139,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,47.6,11.9,17,14,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",58,1215,882,3,6,1,1
conv,0.15145600338776907,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_relu_tile148t_nt_v0,39.2,4.9,49,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<1, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_relu_tile148t_nt_v0",7,97,206,3,9,1,1
conv,19.809450149536133,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,638.4,79.8,57,7,4,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",57,937,4,3,56,1,1
conv,0.1869546671708425,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,19.0,4.75,5,19,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",10,37,1205,3,8,1,1
conv,0.3951893250147502,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,114.0,28.5,19,30,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",20,16,1912,3,11,1,1
conv,5.85806941986084,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_nn,226.8,113.4,7,9,36,64,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);maxwell_sgemm_64x64_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",42,798,556,3,11,1,1
conv,0.23082666595776877,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,20.4,5.1,6,17,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",29,43,1081,3,5,1,1
conv,1.2579092979431152,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,240.0,30.0,75,4,2,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",25,261,90,3,25,1,1
conv,0.48053332169850665,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile424n_nt_v1,36.0,4.5,6,5,3,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile424n_nt_v1",8,513,70,3,17,1,1
conv,0.5204906662305196,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile424n_nt_v1,36.0,4.5,6,5,3,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile424n_nt_v1",12,586,59,3,17,1,1
conv,0.6382293502489725,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,62.4,7.8,78,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",3,213,829,3,14,1,1
conv,3.9855573177337646,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,13.2,3.3,3,22,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",13,1558,1352,3,5,1,1
conv,1.4666026433308919,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,44.0,5.5,55,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",55,1658,29,3,11,1,1
conv,2.9390505949656167,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,1036.8,129.6,16,18,9,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1",16,88,13,3,142,1,1
conv,4.709418773651123,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_nn,388.8,48.6,9,3,36,256,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);maxwell_sgemm_32x128_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",27,1212,333,3,10,1,1
conv,7.465119997660319,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1,1818.6,454.65,1299,7,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_maxwell_scudnn_128x64_relu_small_nn_v1",57,24,416,3,54,1,1
conv,17.308170318603516,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_relu_tile148t_nt_v0,582.4,72.8,52,7,4,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<1, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_relu_tile148t_nt_v0",52,1180,12,3,49,1,1
conv,4.558752059936523,Tesla P4,p2.1.0,8902,cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile228n_nt_v1,168.0,21.0,30,7,2,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile228n_nt_v1",30,1410,56,3,25,1,1
