OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.0957120011250178,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.5714286,0.071428575,2,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,58,13,141
linear,0.09365333368380864,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.5714286,0.071428575,1,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,126,115,72
linear,0.09329066673914592,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.5714286,0.071428575,2,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,53,45,217
linear,0.0931413322687149,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.14285715,0.017857144,1,1,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,17,16,48
linear,0.0961386685570081,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.5714286,0.071428575,1,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,112,120,14
linear,0.10113066683212917,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.7142857,0.21428572,1,4,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,102,215,113
linear,0.10516266773144405,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.2857144,0.2857143,1,8,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,230,143,4
linear,0.10070400188366573,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.5714285,0.32142857,2,3,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,82,217,175
linear,0.09383466591437657,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.71428573,0.08928572,1,5,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,143,80,111
linear,0.09625600278377533,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.85714287,0.10714286,1,6,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,173,53,48
linear,0.0914879987637202,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.0,0.25,2,7,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,195,50,184
linear,0.09921066711346309,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.7142857,0.21428572,1,6,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,177,136,23
linear,0.09187199920415878,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.2857144,0.2857143,2,8,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,236,64,194
linear,0.10484266529480617,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.1428572,0.14285715,2,2,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,41,151,186
linear,0.09424000233411789,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.5714286,0.071428575,1,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,99,36,24
linear,0.09673600147167842,Tesla P100-PCIE-16GB,p2.1.0,8902,maxwell_sgemm_128x32_tn,3.4285715,0.42857143,3,4,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,117,149,297
