OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.04608000069856644,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.6,0.2,2,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,58,13,141
linear,0.05434666574001312,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.6,0.2,1,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,126,115,72
linear,0.05328000088532766,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.6,0.2,2,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,53,45,217
linear,0.05439999947945277,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,0.4,0.05,1,1,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,17,16,48
linear,0.05417600025733312,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,1.6,0.2,1,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,112,120,14
linear,0.0592746672530969,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,4.8,0.6,1,4,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,102,215,113
linear,0.059872000167767205,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,6.4,0.8,1,8,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,230,143,4
linear,0.05869866659243902,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,7.2,0.9,2,3,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,82,217,175
linear,0.055999999245007835,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.0,0.25,1,5,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,143,80,111
linear,0.05358933409055074,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.4,0.3,1,6,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,173,53,48
