OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H
mulu,0.03836160078644753,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",2.1,0.525,42,1,1,128,1,1,cu121,127,168
mulu,0.03779199942946434,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",2.5,0.625,50,1,1,128,1,1,cu121,223,114
mulu,0.03724160045385361,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",0.05,0.0125,1,1,1,128,1,1,cu121,77,3
mulu,0.0379455991089344,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",0.5,0.125,10,1,1,128,1,1,cu121,214,23
mulu,0.03786239996552467,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",0.5,0.125,10,1,1,128,1,1,cu121,21,241
mulu,0.037696000188589096,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",0.4,0.1,8,1,1,128,1,1,cu121,18,218
mulu,0.03760640025138855,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",4.9,1.225,98,1,1,128,1,1,cu121,202,246
mulu,0.0377920001745224,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",1.2,0.3,24,1,1,128,1,1,cu121,51,232
mulu,0.03721599951386452,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",3.1,0.775,62,1,1,128,1,1,cu121,254,124
mulu,0.03735679984092712,Tesla V100-PCIE-32GB,p2.1.0,8902,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",0.05,0.0125,1,1,1,128,1,1,cu121,43,7
