OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H
softmax,0.03328000009059906,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.2,0.8,32,1,1,32,4,1,cu121,127,168
softmax,0.035142400115728376,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.8,0.7,28,1,1,32,4,1,cu121,223,114
softmax,0.033395199477672576,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 2, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.2,0.05,2,1,1,4,32,1,cu121,77,3
softmax,0.032972799986600874,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.7,0.675,27,1,1,32,4,1,cu121,214,23
softmax,0.03336320072412491,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.6,0.15,6,1,1,32,4,1,cu121,21,241
softmax,0.03322239965200424,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.5,0.125,5,1,1,32,4,1,cu121,18,218
softmax,0.03344000056385994,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.1,1.275,51,1,1,32,4,1,cu121,202,246
softmax,0.033824000507593155,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.3,0.325,13,1,1,32,4,1,cu121,51,232
softmax,0.033164799213409424,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.2,0.8,32,1,1,32,4,1,cu121,254,124
softmax,0.033215999603271484,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 3, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.2,0.05,2,1,1,8,16,1,cu121,43,7
softmax,0.03333760052919388,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.7,0.675,27,1,1,32,4,1,cu121,209,112
softmax,0.03304959982633591,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.7,0.425,17,1,1,32,4,1,cu121,68,184
softmax,0.033433600515127185,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.9,0.475,19,1,1,32,4,1,cu121,152,123
softmax,0.03333120048046112,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 4, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.3,0.075,3,1,1,16,8,1,cu121,47,9
softmax,0.03329920023679733,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",6.2,1.55,62,1,1,32,4,1,cu121,246,157
softmax,0.03326079994440079,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.1,0.525,21,1,1,32,4,1,cu121,83,236
softmax,0.0328575998544693,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.4,0.1,4,1,1,32,4,1,cu121,13,233
softmax,0.033631999790668485,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.0,0.75,30,1,1,32,4,1,cu121,238,71
softmax,0.0334016002714634,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.6,0.65,26,1,1,32,4,1,cu121,208,95
softmax,0.03342080041766167,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.8,1.2,48,1,1,32,4,1,cu121,190,238
softmax,0.03342080041766167,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.1,0.025,1,1,1,32,4,1,cu121,1,37
softmax,0.033459200710058215,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.0,1.25,50,1,1,32,4,1,cu121,198,171
softmax,0.0332224003970623,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.5,0.125,5,1,1,32,4,1,cu121,17,152
softmax,0.03342080041766167,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.5,1.375,55,1,1,32,4,1,cu121,219,139
softmax,0.03318400010466575,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.4,0.35,14,1,1,32,4,1,cu121,107,42
softmax,0.033126400411129,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.2,0.55,22,1,1,32,4,1,cu121,172,29
softmax,0.03359359949827194,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.4,0.6,24,1,1,32,4,1,cu121,187,27
softmax,0.03367680013179779,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.5,0.375,15,1,1,32,4,1,cu121,57,197
softmax,0.03306879997253418,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.7,1.175,47,1,1,32,4,1,cu121,188,239
softmax,0.033267199993133545,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.6,0.15,6,1,1,32,4,1,cu121,21,188
softmax,0.03303679972887039,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.4,0.6,24,1,1,32,4,1,cu121,188,90
softmax,0.034662400186061856,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.5,0.125,5,1,1,32,4,1,cu121,35,105
softmax,0.033228799700737,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.8,0.45,18,1,1,32,4,1,cu121,71,172
softmax,0.03320319950580597,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.6,0.4,16,1,1,32,4,1,cu121,123,59
softmax,0.03313279971480369,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.1,0.775,31,1,1,32,4,1,cu121,245,108
softmax,0.0329535998404026,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.9,0.725,29,1,1,32,4,1,cu121,116,165
softmax,0.03559039980173111,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.6,1.15,46,1,1,32,4,1,cu121,181,137
softmax,0.03342719972133636,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.5,1.375,55,1,1,32,4,1,cu121,217,142
softmax,0.03309439942240715,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.4,0.1,4,1,1,32,4,1,cu121,28,33
softmax,0.03303679972887039,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.8,1.2,48,1,1,32,4,1,cu121,191,177
softmax,0.03299199938774109,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.8,1.45,58,1,1,32,4,1,cu121,232,249
softmax,0.033798400312662125,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.3,0.825,33,1,1,32,4,1,cu121,257,63
softmax,0.03320959955453873,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",6.1,1.525,61,1,1,32,4,1,cu121,241,150
softmax,0.03296639993786812,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.8,1.45,58,1,1,32,4,1,cu121,232,189
softmax,0.03306239917874336,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.5,0.125,5,1,1,32,4,1,cu121,34,97
softmax,0.03303680047392845,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.0,0.75,30,1,1,32,4,1,cu121,235,45
softmax,0.03318400010466575,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.1,0.275,11,1,1,32,4,1,cu121,42,201
softmax,0.03299839943647385,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.3,0.575,23,1,1,32,4,1,cu121,92,148
softmax,0.03359360024333,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.5,0.125,5,1,1,32,4,1,cu121,40,56
softmax,0.03315839990973472,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.2,0.55,22,1,1,32,4,1,cu121,85,142
softmax,0.03313279971480369,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.5,0.375,15,1,1,32,4,1,cu121,58,332
softmax,0.03420799970626831,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",6.4,1.6,64,1,1,32,4,1,cu121,255,334
softmax,0.033580799400806424,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.7,0.675,27,1,1,32,4,1,cu121,105,268
softmax,0.03301120027899742,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.8,0.95,38,1,1,32,4,1,cu121,151,470
softmax,0.03338880091905594,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.7,0.425,17,1,1,32,4,1,cu121,68,499
softmax,0.033683200180530545,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.5,1.125,45,1,1,32,4,1,cu121,178,472
softmax,0.03402879983186722,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.7,1.425,57,1,1,32,4,1,cu121,228,267
softmax,0.033407998830080034,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.8,0.95,38,1,1,32,4,1,cu121,150,353
softmax,0.03315839990973472,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.9,0.225,9,1,1,32,4,1,cu121,33,268
softmax,0.03288960009813309,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.0,0.75,30,1,1,32,4,1,cu121,119,428
softmax,0.033408000320196155,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.3,1.325,53,1,1,32,4,1,cu121,211,432
softmax,0.03519359976053238,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.2,1.05,42,1,1,32,4,1,cu121,168,505
softmax,0.033376000821590424,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",5.7,1.425,57,1,1,32,4,1,cu121,228,491
softmax,0.03303679972887039,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.9,0.975,39,1,1,32,4,1,cu121,156,324
softmax,0.033126399666070935,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",4.0,1.0,40,1,1,32,4,1,cu121,157,344
softmax,0.033267199993133545,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.4,0.85,34,1,1,32,4,1,cu121,134,373
softmax,0.03409920036792755,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",6.2,1.55,62,1,1,32,4,1,cu121,248,447
softmax,0.033344000577926636,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.7,0.925,37,1,1,32,4,1,cu121,148,281
softmax,0.03266559988260269,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.9,0.475,19,1,1,32,4,1,cu121,76,437
softmax,0.03269120007753372,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.7,0.925,37,1,1,32,4,1,cu121,146,490
softmax,0.03308159932494163,Tesla T4,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.2,0.55,22,1,1,32,4,1,cu121,86,339
