OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H
softmax,0.04087040051817894,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.6,0.4,32,1,1,32,4,1,cu121,127,168
softmax,0.041510400176048276,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.4,0.35,28,1,1,32,4,1,cu121,223,114
softmax,0.04129279926419258,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 2, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.1,0.025,2,1,1,4,32,1,cu121,77,3
softmax,0.04124159961938858,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.35,0.3375,27,1,1,32,4,1,cu121,214,23
softmax,0.04123519957065582,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.3,0.075,6,1,1,32,4,1,cu121,21,241
softmax,0.04147839918732643,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.25,0.0625,5,1,1,32,4,1,cu121,18,218
softmax,0.041036800295114514,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.55,0.6375,51,1,1,32,4,1,cu121,202,246
softmax,0.04097279980778694,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.65,0.1625,13,1,1,32,4,1,cu121,51,232
softmax,0.04111360013484955,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.6,0.4,32,1,1,32,4,1,cu121,254,124
softmax,0.041484799981117246,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 3, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.1,0.025,2,1,1,8,16,1,cu121,43,7
softmax,0.04122880026698113,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.35,0.3375,27,1,1,32,4,1,cu121,209,112
softmax,0.041331200301647185,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.85,0.2125,17,1,1,32,4,1,cu121,68,184
softmax,0.04100480079650879,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.95,0.2375,19,1,1,32,4,1,cu121,152,123
softmax,0.041356799006462094,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 4, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.15,0.0375,3,1,1,16,8,1,cu121,47,9
softmax,0.041414400190114976,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.1,0.775,62,1,1,32,4,1,cu121,246,157
softmax,0.04108159989118576,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.05,0.2625,21,1,1,32,4,1,cu121,83,236
softmax,0.04089599922299385,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.2,0.05,4,1,1,32,4,1,cu121,13,233
softmax,0.04103679955005646,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.5,0.375,30,1,1,32,4,1,cu121,238,71
softmax,0.04108799993991852,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.3,0.325,26,1,1,32,4,1,cu121,208,95
softmax,0.041171200573444366,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.4,0.6,48,1,1,32,4,1,cu121,190,238
softmax,0.04104959964752197,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.05,0.0125,1,1,1,32,4,1,cu121,1,37
softmax,0.04145279973745346,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.5,0.625,50,1,1,32,4,1,cu121,198,171
softmax,0.04093440026044846,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.25,0.0625,5,1,1,32,4,1,cu121,17,152
softmax,0.04156160056591034,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.75,0.6875,55,1,1,32,4,1,cu121,219,139
softmax,0.04123519957065582,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.7,0.175,14,1,1,32,4,1,cu121,107,42
softmax,0.04133119955658913,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.1,0.275,22,1,1,32,4,1,cu121,172,29
softmax,0.041196799278259276,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.2,0.3,24,1,1,32,4,1,cu121,187,27
softmax,0.04111360013484955,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.75,0.1875,15,1,1,32,4,1,cu121,57,197
softmax,0.04134399965405464,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.35,0.5875,47,1,1,32,4,1,cu121,188,239
softmax,0.04081279933452606,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.3,0.075,6,1,1,32,4,1,cu121,21,188
softmax,0.04108159989118576,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.2,0.3,24,1,1,32,4,1,cu121,188,90
softmax,0.04124160036444664,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.25,0.0625,5,1,1,32,4,1,cu121,35,105
softmax,0.04108799993991852,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.9,0.225,18,1,1,32,4,1,cu121,71,172
softmax,0.04074240028858185,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.8,0.2,16,1,1,32,4,1,cu121,123,59
softmax,0.040959999710321424,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.55,0.3875,31,1,1,32,4,1,cu121,245,108
softmax,0.0413503997027874,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.45,0.3625,29,1,1,32,4,1,cu121,116,165
softmax,0.04135679975152016,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.3,0.575,46,1,1,32,4,1,cu121,181,137
softmax,0.04105599969625473,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.75,0.6875,55,1,1,32,4,1,cu121,217,142
softmax,0.041702400892972946,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.2,0.05,4,1,1,32,4,1,cu121,28,33
softmax,0.04110720008611679,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.4,0.6,48,1,1,32,4,1,cu121,191,177
softmax,0.04072320014238358,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.9,0.725,58,1,1,32,4,1,cu121,232,249
softmax,0.04088959917426109,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.65,0.4125,33,1,1,32,4,1,cu121,257,63
softmax,0.04105600044131279,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.05,0.7625,61,1,1,32,4,1,cu121,241,150
softmax,0.04068479984998703,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.9,0.725,58,1,1,32,4,1,cu121,232,189
softmax,0.04095359891653061,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 7, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.25,0.0625,5,1,1,32,4,1,cu121,34,97
softmax,0.04086399897933006,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.5,0.375,30,1,1,32,4,1,cu121,235,45
softmax,0.04112000092864036,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.55,0.1375,11,1,1,32,4,1,cu121,42,201
softmax,0.040831999480724336,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.15,0.2875,23,1,1,32,4,1,cu121,92,148
softmax,0.04052480012178421,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.25,0.0625,5,1,1,32,4,1,cu121,40,56
softmax,0.04099199995398521,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 8, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.1,0.275,22,1,1,32,4,1,cu121,85,142
softmax,0.04071040078997612,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.75,0.1875,15,1,1,32,4,1,cu121,58,332
softmax,0.040953599661588666,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",3.2,0.8,64,1,1,32,4,1,cu121,255,334
softmax,0.04094079956412315,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.35,0.3375,27,1,1,32,4,1,cu121,105,268
softmax,0.040799999982118605,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.9,0.475,38,1,1,32,4,1,cu121,151,470
softmax,0.04070400074124336,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.85,0.2125,17,1,1,32,4,1,cu121,68,499
softmax,0.04126719906926155,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.25,0.5625,45,1,1,32,4,1,cu121,178,472
softmax,0.04122240021824837,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",2.85,0.7125,57,1,1,32,4,1,cu121,228,267
softmax,0.04084479883313179,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",1.9,0.475,38,1,1,32,4,1,cu121,150,353
softmax,0.04113920032978058,Tesla V100-PCIE-32GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 9, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",0.45,0.1125,9,1,1,32,4,1,cu121,33,268
