OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H,large
softmax,0.0969280004501342,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",112.28571,28.071428,1572,1,1,32,4,1,cu121,6287,567,True
softmax,0.1237376019358635,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",127.35714,31.839285,1783,1,1,32,4,1,cu121,7129,768,True
softmax,0.1573696017265319,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",134.35715,33.589287,1881,1,1,32,4,1,cu121,7523,981,True
softmax,0.1245504021644592,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",99.92857,24.982143,1399,1,1,32,4,1,cu121,5596,962,True
softmax,0.1495680034160614,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",124.92857,31.232143,1749,1,1,32,4,1,cu121,6996,992,True
softmax,0.1219584003090858,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",115.14286,28.785715,1612,1,1,32,4,1,cu121,6446,795,True
softmax,0.1318975985050201,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",135.78572,33.94643,1901,1,1,32,4,1,cu121,7601,747,True
softmax,0.1037824019789695,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",117.85714,29.464285,1650,1,1,32,4,1,cu121,6597,602,True
softmax,0.1387071967124939,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",117.85714,29.464285,1650,1,1,32,4,1,cu121,6600,929,True
softmax,0.1044544026255607,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",118.92857,29.732143,1665,1,1,32,4,1,cu121,6658,605,True
softmax,0.0856127977371215,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",84.78571,21.196428,1187,1,1,32,4,1,cu121,4748,591,True
