OPName,Latency,Device,Kernel Name,Grid x,Grid y,Grid z,Block x,Block y,Block z,Kernels,B,H
addu,0.017983999848365784,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",1,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",58,13
addu,0.020128000527620316,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",18,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",141,126
addu,0.019839999824762346,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",9,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",115,72
addu,0.020160000398755075,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",3,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",53,45
addu,0.02019200026988983,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",4,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",217,17
addu,0.018527999892830847,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",1,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",16,48
addu,0.02019200026988983,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",14,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",112,120
addu,0.019199999794363976,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",2,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",14,102
addu,0.020256000012159346,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",24,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",215,113
addu,0.020351999998092653,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",33,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",230,143
addu,0.01836799941956997,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",1,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",4,82
addu,0.019647999852895736,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",38,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",217,175
addu,0.020095599815249443,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",12,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",143,80
addu,0.02006400004029274,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",19,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",111,173
addu,0.02022400051355362,AMD Instinct MI100,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char*, 2>)",3,1,1,256,1,1,";void at::native::vectorized_elementwise_kernel<4, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2> >(int, at::native::cudafunctoronself_add<float>, at::detail::array<char*, 2>)",53,48
