op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_sort_key,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, view: None}",<class 'torch.Tensor'>,,size,False,"(0,)",,{},[],[],True,0.0,0.0,0,0,"(2, 2048)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_2: None, getitem_3: None}",,input_ids,getitem,False,"(27,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048]]",[True],True,0.006943999975919724,0.006943999975919724,0,0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{view: None},,size,view,False,"(28,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006495999917387962,0.006495999917387962,0,0,"(1,)",,getitem
call_method,view,"{input_ids: None, getitem: None}","(input_ids, -1, getitem)",{},"{size_1: None, getattr_1: None, transformer_wte: None}",,getitem,size_1,False,"(29,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048], [1]]","[True, True]",True,0.0064640000462532045,0.0064640000462532045,0,0,"(2, 2048)",torch.int64,view
call_method,size,{view: None},"(view,)",{},{getitem_1: None},,view,getitem_1,False,"(30,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048]]",[True],True,0.0054720000363886355,0.0054720000363886355,0,0,"(1,)",,size_1
call_function,<built-in function getitem>,{size_1: None},"(size_1, 0)",{},{},,size_1,getitem_2,False,"(31,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006303999945521355,0.006303999945521355,0,0,"(1,)",,getitem_1
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{add: None},,getitem_1,add,False,"(32,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006303999945521355,0.006303999945521355,0,0,"(1,)",,getitem_2
call_function,<built-in function add>,{getitem_2: None},"(getitem_2, 0)",{},{arange: None},,getitem_2,getattr_1,False,"(33,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006591999903321266,0.006591999903321266,0,0,"(1,)",,add
call_function,<built-in function getattr>,{view: None},"(view, 'device')",{},{arange: None},,add,arange,False,"(34,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048]]",[True],True,0.006976000033318996,0.006976000033318996,0,0,"(1,)",,getattr_1
call_function,<built-in method arange of type object at 0x7f90b1c92600>,"{add: None, getattr_1: None}","(0, add)","{'dtype': torch.int64, 'device': getattr_1}",{unsqueeze: None},,getattr_1,unsqueeze,False,"(35,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[1], [1]]","[True, True]",True,0.014111999981105327,0.014111999981105327,0,0,"(2048,)",torch.int64,arange
call_method,unsqueeze,{arange: None},"(arange, 0)",{},{transformer_wpe: None},,arange,transformer_wte,False,"(36,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[2048]],[True],True,0.006080000009387731,0.006080000009387731,0,0,"(1, 2048)",torch.int64,unsqueeze
call_module,transformer.wte,{view: None},"(view,)",{},{add_1: None},,unsqueeze,transformer_wpe,False,"(37,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.wte': ('transformer.wte', <class 'torch.nn.modules.sparse.Embedding'>)})}","[[2, 2048]]",[True],True,0.11504019945859909,0.11504019945859909,0,0,"(2, 2048, 2560)",torch.float32,transformer_wte
call_module,transformer.wpe,{unsqueeze: None},"(unsqueeze,)",{},{add_1: None},,transformer_wte,add_1,False,"(38,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.wpe': ('transformer.wpe', <class 'torch.nn.modules.sparse.Embedding'>)})}","[[1, 2048]]",[True],True,0.07782400101423263,0.07782400101423263,0,0,"(1, 2048, 2560)",torch.float32,transformer_wpe
call_function,<built-in function add>,"{transformer_wte: None, transformer_wpe: None}","(transformer_wte, transformer_wpe)",{},{transformer_drop: None},,transformer_wpe,transformer_drop,False,"(39,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048, 2560], [1, 2048, 2560]]","[True, True]",True,0.1079041987657547,0.1079041987657547,0,0,"(2, 2048, 2560)",torch.float32,add_1
call_module,transformer.drop,{add_1: None},"(add_1,)",{},"{size_2: None, transformer_h_0_ln_1: None, add_10: None}",,add_1,getitem_3,False,"(40,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.drop': ('transformer.drop', <class 'torch.nn.modules.dropout.Dropout'>)})}","[[2, 2048, 2560]]",[True],True,0.009759999811649323,0.009759999811649323,0,0,"(2, 2048, 2560)",torch.float32,transformer_drop
call_function,<built-in function getitem>,{size: None},"(size, slice(1, None, None))",{},{add_2: None},,transformer_drop,add_2,False,"(41,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006048199906945229,0.006048199906945229,0,0,"(1,)",,getitem_3
call_function,<built-in function add>,{getitem_3: None},"((-1,), getitem_3)",{},{add_3: None},,getitem_3,size_2,False,"(42,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}",[[1]],[True],True,0.006463999859988689,0.006463999859988689,0,0,"(1,)",,add_2
call_method,size,{transformer_drop: None},"(transformer_drop, -1)",{},{add_3: None},,add_2,add_3,False,"(43,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[2, 2048, 2560]]",[True],True,0.006016000080853701,0.006016000080853701,0,0,"(1,)",,size_2
call_function,<built-in function add>,"{add_2: None, size_2: None}","(add_2, (size_2,))",{},{view_13: None},,size_2,transformer_h_0_ln_1,False,"(44,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>)})}","[[1], [1]]","[True, True]",True,0.006527999881654978,0.006527999881654978,0,0,"(1,)",,add_3
call_module,transformer.h.0.ln_1,{transformer_drop: None},"(transformer_drop,)",{},"{size_3: None, size_4: None, view_1: None}",,add_3,size_3,False,"(45,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.ln_1': ('transformer.h.0.ln_1', <class 'torch.nn.modules.normalization.LayerNorm'>)})}","[[2, 2048, 2560]]",[True],True,0.12048059850931167,0.12048059850931167,0,0,"(2, 2048, 2560)",torch.float32,transformer_h_0_ln_1
call_method,size,{transformer_h_0_ln_1: None},"(transformer_h_0_ln_1,)",{},{getitem_4: None},,transformer_h_0_ln_1,getitem_4,False,"(46,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","[[2, 2048, 2560]]",[True],True,0.006527999974787235,0.006527999974787235,0,0,"(1,)",,size_3
call_function,<built-in function getitem>,{size_3: None},"(size_3, slice(None, -1, None))",{},{add_4: None},,size_3,add_4,False,"(47,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[[1]],[True],True,0.005632000043988228,0.005632000043988228,0,0,"(1,)",,getitem_4
call_function,<built-in function add>,{getitem_4: None},"(getitem_4, (7680,))",{},{view_2: None},,getitem_4,transformer_h_0_attn_c_attn_bias,False,"(48,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[[1]],[True],True,0.006015999987721443,0.006015999987721443,0,0,"(1,)",,add_4
get_attr,transformer.h.0.attn.c_attn.bias,{},(),{},{addmm: None},,add_4,size_4,False,"(49,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[],[],True,0.0,0.0,0,0,"(7680,)",torch.float32,transformer_h_0_attn_c_attn_bias
call_method,size,{transformer_h_0_ln_1: None},"(transformer_h_0_ln_1, -1)",{},{view_1: None},,transformer_h_0_attn_c_attn_bias,view_1,False,"(50,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","[[2, 2048, 2560]]",[True],True,0.006623999960720539,0.006623999960720539,0,0,"(1,)",,size_4
call_method,view,"{transformer_h_0_ln_1: None, size_4: None}","(transformer_h_0_ln_1, -1, size_4)",{},{addmm: None},,size_4,transformer_h_0_attn_c_attn_weight,False,"(51,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","[[2, 2048, 2560], [1]]","[True, True]",True,0.006816000025719404,0.006816000025719404,0,0,"(4096, 2560)",torch.float32,view_1
get_attr,transformer.h.0.attn.c_attn.weight,{},(),{},{addmm: None},,view_1,addmm,False,"(52,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}",[],[],True,0.0,0.0,0,0,"(2560, 7680)",torch.float32,transformer_h_0_attn_c_attn_weight
call_function,<built-in method addmm of type object at 0x7f90b1c92600>,"{transformer_h_0_attn_c_attn_bias: None, view_1: None, transformer_h_0_attn_c_attn_weight: None}","(transformer_h_0_attn_c_attn_bias, view_1, transformer_h_0_attn_c_attn_weight)",{},{view_2: None},,transformer_h_0_attn_c_attn_weight,view_2,False,"(53,)",,"{'nn_module_stack': OrderedDict({'transformer': ('transformer', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Model'>), 'transformer.h.0': ('transformer.h.0', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Block'>), 'transformer.h.0.attn': ('transformer.h.0.attn', <class 'transformers.models.gpt2.modeling_gpt2.GPT2Attention'>), 'transformer.h.0.attn.c_attn': ('transformer.h.0.attn.c_attn', <class 'transformers.pytorch_utils.Conv1D'>)})}","[[7680], [4096, 2560], [2560, 7680]]","[True, True, True]",True,5.174930381774902,5.174930381774902,0,0,"(4096, 7680)",torch.float32,addmm
