op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_sort_key,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, view: None}",<class 'torch.Tensor'>,,size,False,"(0,)",,{},[],[],True,0.0,0.0,0,0,"(2, 2048)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None, getitem_2: None, getitem_3: None, getitem_4: None}",,input_ids,getitem,False,"(19,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.0055680000223219395,0.0055680000223219395,0,0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{view: None},,size,view,False,"(20,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005600200034677982,0.005600200034677982,0,0,"(1,)",,getitem
call_method,view,"{input_ids: None, getitem: None}","(input_ids, -1, getitem)",{},{model_decoder_embed_tokens: None},,getitem,model_decoder_embed_tokens,False,"(21,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048], [1]]","[True, True]",True,0.006015999987721443,0.006015999987721443,0,0,"(2, 2048)",torch.int64,view
call_module,model.decoder.embed_tokens,{view: None},"(view,)",{},"{getattr_1: None, getattr_2: None, add_5: None}",,view,getitem_1,False,"(22,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_tokens': ('model.decoder.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>)})}","[[2, 2048]]",[True],True,0.09721619933843613,0.09721619933843613,0,0,"(2, 2048, 2048)",torch.float32,model_decoder_embed_tokens
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},{ones: None},,model_decoder_embed_tokens,getitem_2,False,"(23,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005952199921011925,0.005952199921011925,0,0,"(1,)",,getitem_1
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},{add: None},,getitem_1,add,False,"(24,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.006080000009387731,0.006080000009387731,0,0,"(1,)",,getitem_2
call_function,<built-in function add>,{getitem_2: None},"(0, getitem_2)",{},{ones: None},,getitem_2,getattr_1,False,"(25,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005632200092077255,0.005632200092077255,0,0,"(1,)",,add
call_function,<built-in function getattr>,{model_decoder_embed_tokens: None},"(model_decoder_embed_tokens, 'device')",{},{ones: None},,add,ones,False,"(26,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048, 2048]]",[True],True,0.005664000101387501,0.005664000101387501,0,0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x7f2096e57600>,"{getitem_1: None, add: None, getattr_1: None}","(getitem_1, add)",{'device': getattr_1},"{size_1: None, size_2: None, getattr_4: None, size_5: None, getitem_9: None, getattr_6: None, long: None}",,getattr_1,getitem_3,False,"(27,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1], [1], [1]]","[True, True, True]",True,0.014688199758529663,0.014688199758529663,0,0,"(2, 2048)",torch.float32,ones
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{add_1: None},,ones,add_1,False,"(28,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.0065600000321865085,0.0065600000321865085,0,0,"(1,)",,getitem_3
call_function,<built-in function add>,{getitem_3: None},"(getitem_3, 0)",{},{sub: None},,getitem_3,size_1,False,"(29,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.0056640000082552435,0.0056640000082552435,0,0,"(1,)",,add_1
call_method,size,{ones: None},"(ones,)",{},{},,add_1,getitem_4,False,"(30,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.006431999988853932,0.006431999988853932,0,0,"(1,)",,size_1
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},"{gt: None, sub: None, full: None, add_3: None, expand: None, expand_1: None}",,size_1,size_2,False,"(31,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.0063680000603199005,0.0063680000603199005,0,0,"(1,)",,getitem_4
call_method,size,{ones: None},"(ones,)",{},{getitem_5: None},,getitem_4,getitem_5,False,"(32,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.00544000007212162,0.00544000007212162,0,0,"(1,)",,size_2
call_function,<built-in function getitem>,{size_2: None},"(size_2, 0)",{},{expand: None},,size_2,gt,False,"(33,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.004992000013589859,0.004992000013589859,0,0,"(1,)",,getitem_5
call_function,<built-in function gt>,{getitem_4: None},"(getitem_4, 1)",{},{},,getitem_5,sub,False,"(34,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.006303999945521355,0.006303999945521355,0,0,"(1,)",,gt
call_function,<built-in function sub>,"{add_1: None, getitem_4: None}","(add_1, getitem_4)",{},"{gt_1: None, add_3: None}",,gt,getattr_2,False,"(35,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1], [1]]","[True, True]",True,0.006271999981254339,0.006271999981254339,0,0,"(1,)",,sub
call_function,<built-in function getattr>,{model_decoder_embed_tokens: None},"(model_decoder_embed_tokens, 'dtype')",{},"{finfo: None, to: None, to_1: None, finfo_1: None, finfo_2: None}",,sub,finfo,False,"(36,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048, 2048]]",[True],True,0.006015999987721443,0.006015999987721443,0,0,"(1,)",,getattr_2
call_function,<class 'torch.finfo'>,{getattr_2: None},"(getattr_2,)",{},{getattr_3: None},,getattr_2,getattr_3,False,"(37,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.006656000018119812,0.006656000018119812,0,0,"(1,)",,finfo
call_function,<built-in function getattr>,{finfo: None},"(finfo, 'min')",{},{full: None},,finfo,getattr_4,False,"(38,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.004767999984323978,0.004767999984323978,0,0,"(1,)",,getattr_3
call_function,<built-in function getattr>,{ones: None},"(ones, 'device')",{},"{full: None, arange: None}",,getattr_3,full,False,"(39,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.005824000015854836,0.005824000015854836,0,0,"(1,)",,getattr_4
call_function,<built-in method full of type object at 0x7f2096e57600>,"{getitem_4: None, getattr_3: None, getattr_4: None}","((getitem_4, getitem_4), getattr_3)",{'device': getattr_4},"{size_3: None, size_4: None, masked_fill_: None, to: None}",,getattr_4,size_3,False,"(40,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1], [1], [1]]","[True, True, True]",True,0.022016000002622604,0.022016000002622604,0,0,"(2048, 2048)",torch.float32,full
call_method,size,{full: None},"(full, -1)",{},{arange: None},,full,arange,False,"(41,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048, 2048]]",[True],True,0.005760000087320805,0.005760000087320805,0,0,"(1,)",,size_3
call_function,<built-in method arange of type object at 0x7f2096e57600>,"{size_3: None, getattr_4: None}","(size_3,)",{'device': getattr_4},"{add_2: None, lt: None}",,size_3,add_2,False,"(42,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1], [1]]","[True, True]",True,0.01424000021070242,0.01424000021070242,0,0,"(2048,)",torch.int64,arange
call_function,<built-in function add>,{arange: None},"(arange, 1)",{},{view_1: None},,arange,size_4,False,"(43,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[2048]],[True],True,0.018111999705433847,0.018111999705433847,0,0,"(2048,)",torch.int64,add_2
call_method,size,{full: None},"(full, -1)",{},{view_1: None},,add_2,view_1,False,"(44,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048, 2048]]",[True],True,0.006559999845921993,0.006559999845921993,0,0,"(1,)",,size_4
call_method,view,"{add_2: None, size_4: None}","(add_2, size_4, 1)",{},{lt: None},,size_4,lt,False,"(45,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048], [1]]","[True, True]",True,0.006080200057476759,0.006080200057476759,0,0,"(2048, 1)",torch.int64,view_1
call_function,<built-in function lt>,"{arange: None, view_1: None}","(arange, view_1)",{},{masked_fill_: None},,view_1,masked_fill_,False,"(46,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048], [2048, 1]]","[True, True]",True,0.034624199569225314,0.034624199569225314,0,0,"(2048, 2048)",torch.bool,lt
call_method,masked_fill_,"{full: None, lt: None}","(full, lt, 0)",{},{},,lt,to,False,"(47,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048, 2048], [2048, 2048]]","[True, True]",True,0.039872000366449355,0.039872000366449355,0,0,"(2048, 2048)",torch.float32,masked_fill_
call_method,to,"{full: None, getattr_2: None}","(full, getattr_2)",{},{getitem_6: None},,masked_fill_,gt_1,False,"(48,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048, 2048], [1]]","[True, True]",True,0.006143999937921763,0.006143999937921763,0,0,"(2048, 2048)",torch.float32,to
call_function,<built-in function gt>,{sub: None},"(sub, 0)",{},{},,to,getitem_6,False,"(49,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.00505599994212389,0.00505599994212389,0,0,"(1,)",,gt_1
call_function,<built-in function getitem>,{to: None},"(to, (None, None, slice(None, None, None), slice(None, None, None)))",{},{expand: None},,gt_1,add_3,False,"(50,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2048, 2048]]",[True],True,0.01190400030463934,0.01190400030463934,0,0,"(1, 1, 2048, 2048)",torch.float32,getitem_6
call_function,<built-in function add>,"{getitem_4: None, sub: None}","(getitem_4, sub)",{},{expand: None},,getitem_6,expand,False,"(51,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1], [1]]","[True, True]",True,0.005952000059187413,0.005952000059187413,0,0,"(1,)",,add_3
call_method,expand,"{getitem_6: None, getitem_5: None, getitem_4: None, add_3: None}","(getitem_6, getitem_5, 1, getitem_4, add_3)",{},{masked_fill_1: None},,add_3,size_5,False,"(52,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[1, 1, 2048, 2048], [1], [1], [1]]","[True, True, True, True]",False,0.006528000067919493,0.006528000067919493,0,0,"(2, 1, 2048, 2048)",torch.float32,expand
call_method,size,{ones: None},"(ones,)",{},"{getitem_7: None, getitem_8: None}",,expand,getitem_7,False,"(53,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.005695999972522259,0.005695999972522259,0,0,"(1,)",,size_5
call_function,<built-in function getitem>,{size_5: None},"(size_5, 0)",{},{expand_1: None},,size_5,getitem_8,False,"(54,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005311999935656786,0.005311999935656786,0,0,"(1,)",,getitem_7
call_function,<built-in function getitem>,{size_5: None},"(size_5, 1)",{},{expand_1: None},,getitem_7,getitem_9,False,"(55,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.00649600001052022,0.00649600001052022,0,0,"(1,)",,getitem_8
call_function,<built-in function getitem>,{ones: None},"(ones, (slice(None, None, None), None, None, slice(None, None, None)))",{},{expand_1: None},,getitem_8,expand_1,False,"(56,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.011136000044643879,0.011136000044643879,0,0,"(2, 1, 1, 2048)",torch.float32,getitem_9
call_method,expand,"{getitem_9: None, getitem_7: None, getitem_4: None, getitem_8: None}","(getitem_9, getitem_7, 1, getitem_4, getitem_8)",{},{to_1: None},,getitem_9,to_1,False,"(57,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 1, 2048], [1], [1], [1]]","[True, True, True, True]",False,0.006623999960720539,0.006623999960720539,0,0,"(2, 1, 2048, 2048)",torch.float32,expand_1
call_method,to,"{expand_1: None, getattr_2: None}","(expand_1, getattr_2)",{},{sub_1: None},,expand_1,sub_1,False,"(58,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048], [1]]","[False, True]",False,0.005280000064522028,0.005280000064522028,0,0,"(2, 1, 2048, 2048)",torch.float32,to_1
call_function,<built-in function sub>,{to_1: None},"(1.0, to_1)",{},"{to_2: None, masked_fill: None}",,to_1,to_2,False,"(59,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048]]",[False],True,0.06409599855542183,0.06409599855542183,0,0,"(2, 1, 2048, 2048)",torch.float32,sub_1
call_method,to,{sub_1: None},"(sub_1, torch.bool)",{},{masked_fill: None},,sub_1,finfo_1,False,"(60,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048]]",[True],True,0.061760200560092925,0.061760200560092925,0,0,"(2, 1, 2048, 2048)",torch.bool,to_2
call_function,<class 'torch.finfo'>,{getattr_2: None},"(getattr_2,)",{},{getattr_5: None},,to_2,getattr_5,False,"(61,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005791999958455562,0.005791999958455562,0,0,"(1,)",,finfo_1
call_function,<built-in function getattr>,{finfo_1: None},"(finfo_1, 'min')",{},{masked_fill: None},,finfo_1,masked_fill,False,"(62,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005695999972522259,0.005695999972522259,0,0,"(1,)",,getattr_5
call_method,masked_fill,"{sub_1: None, to_2: None, getattr_5: None}","(sub_1, to_2, getattr_5)",{},{to_3: None},,getattr_5,getattr_6,False,"(63,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048], [2, 1, 2048, 2048], [1]]","[True, True, True]",True,0.12118400037288665,0.12118400037288665,0,0,"(2, 1, 2048, 2048)",torch.float32,masked_fill
call_function,<built-in function getattr>,{ones: None},"(ones, 'device')",{},{to_3: None},,masked_fill,to_3,False,"(64,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 2048]]",[True],True,0.005408000014722347,0.005408000014722347,0,0,"(1,)",,getattr_6
call_method,to,"{masked_fill: None, getattr_6: None}","(masked_fill, getattr_6)",{},{bool_1: None},,getattr_6,bool_1,False,"(65,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048], [1]]","[True, True]",True,0.005311999935656786,0.005311999935656786,0,0,"(2, 1, 2048, 2048)",torch.float32,to_3
call_method,bool,{to_3: None},"(to_3,)",{},{masked_fill_1: None},,to_3,finfo_2,False,"(66,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048]]",[True],True,0.062111999839544296,0.062111999839544296,0,0,"(2, 1, 2048, 2048)",torch.bool,bool_1
call_function,<class 'torch.finfo'>,{getattr_2: None},"(getattr_2,)",{},{getattr_7: None},,bool_1,getattr_7,False,"(67,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.005184000078588724,0.005184000078588724,0,0,"(1,)",,finfo_2
call_function,<built-in function getattr>,{finfo_2: None},"(finfo_2, 'min')",{},{masked_fill_1: None},,finfo_2,masked_fill_1,False,"(68,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",[[1]],[True],True,0.0056640000082552435,0.0056640000082552435,0,0,"(1,)",,getattr_7
call_method,masked_fill,"{expand: None, bool_1: None, getattr_7: None}","(expand, bool_1, getattr_7)",{},"{size_9: None, add_6: None}",,getattr_7,long,False,"(69,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}","[[2, 1, 2048, 2048], [2, 1, 2048, 2048], [1]]","[False, True, True]",True,0.13004820048809052,0.13004820048809052,0,0,"(2, 1, 2048, 2048)",torch.float32,masked_fill_1
call_method,long,{ones: None},"(ones,)",{},"{cumsum: None, type_as: None, mul: None}",,masked_fill_1,cumsum,False,"(70,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.016832000389695168,0.016832000389695168,0,0,"(2, 2048)",torch.int64,long
call_function,<built-in method cumsum of type object at 0x7f2096e57600>,{long: None},"(long,)",{'dim': 1},{type_as: None},,long,type_as,False,"(71,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.01801599971950054,0.01801599971950054,0,0,"(2, 2048)",torch.int64,cumsum
call_method,type_as,"{cumsum: None, long: None}","(cumsum, long)",{},{mul: None},,cumsum,mul,False,"(72,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048], [2, 2048]]","[True, True]",True,0.005343999899923802,0.005343999899923802,0,0,"(2, 2048)",torch.int64,type_as
call_function,<built-in function mul>,"{type_as: None, long: None}","(type_as, long)",{},{long_1: None},,type_as,long_1,False,"(73,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048], [2, 2048]]","[True, True]",True,0.015072000026702882,0.015072000026702882,0,0,"(2, 2048)",torch.int64,mul
call_method,long,{mul: None},"(mul,)",{},{sub_2: None},,mul,sub_2,False,"(74,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.006431999988853932,0.006431999988853932,0,0,"(2, 2048)",torch.int64,long_1
call_function,<built-in function sub>,{long_1: None},"(long_1, 1)",{},{getitem_10: None},,long_1,getitem_10,False,"(75,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.018816399946808816,0.018816399946808816,0,0,"(2, 2048)",torch.int64,sub_2
call_function,<built-in function getitem>,{sub_2: None},"(sub_2, (slice(None, None, None), slice(0, None, None)))",{},{add_4: None},,sub_2,add_4,False,"(76,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.009311999939382077,0.009311999939382077,0,0,"(2, 2048)",torch.int64,getitem_10
call_function,<built-in function add>,{getitem_10: None},"(getitem_10, 2)",{},{embedding: None},,getitem_10,model_decoder_embed_positions_weight,False,"(77,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}","[[2, 2048]]",[True],True,0.019040200114250182,0.019040200114250182,0,0,"(2, 2048)",torch.int64,add_4
get_attr,model.decoder.embed_positions.weight,{},(),{},{embedding: None},,add_4,embedding,False,"(78,)",,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",[],[],True,0.0,0.0,0,0,"(2050, 2048)",torch.float32,model_decoder_embed_positions_weight
