op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, view: None}",<class 'torch.Tensor'>,,size,False,,{},[],[],True,0.0,0.0,0,0,"(8, 2048)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None, getitem_2: None, getitem_3: None, getitem_4: None}",,input_ids,getitem,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}","[[8, 2048]]",[True],True,0.006553600169718265,0.006553600169718265,0,0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{view: None},,size,view,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}",[[1]],[True],True,0.006144000217318535,0.006144000217318535,0,0,"(1,)",,getitem
call_method,view,"{input_ids: None, getitem: None}","(input_ids, -1, getitem)",{},{model_decoder_embed_tokens: None},,getitem,model_decoder_embed_tokens,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}","[[8, 2048], [1]]","[True, True]",True,0.008191999979317188,0.008191999979317188,0,0,"(8, 2048)",torch.int64,view
call_module,model.decoder.embed_tokens,{view: None},"(view,)",{},"{getattr_1: None, getattr_2: None, add_5: None}",,view,getitem_1,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), ('model.decoder.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>)])}","[[8, 2048]]",[True],True,0.33812479972839354,0.33812479972839354,0,0,"(8, 2048, 2048)",torch.float32,model_decoder_embed_tokens
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},{ones: None},,model_decoder_embed_tokens,getitem_2,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}",[[1]],[True],True,0.006144000217318535,0.006144000217318535,0,0,"(1,)",,getitem_1
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},{add: None},,getitem_1,add,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}",[[1]],[True],True,0.006144000217318535,0.006144000217318535,0,0,"(1,)",,getitem_2
call_function,<built-in function add>,{getitem_2: None},"(0, getitem_2)",{},{ones: None},,getitem_2,getattr_1,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}",[[1]],[True],True,0.006144000217318535,0.006144000217318535,0,0,"(1,)",,add
call_function,<built-in function getattr>,{model_decoder_embed_tokens: None},"(model_decoder_embed_tokens, 'device')",{},{ones: None},,add,ones,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}","[[8, 2048, 2048]]",[True],True,0.006144000217318535,0.006144000217318535,0,0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x15552dc96d80>,"{getitem_1: None, add: None, getattr_1: None}","(getitem_1, add)",{'device': getattr_1},"{size_1: None, size_2: None, getattr_4: None, size_5: None, getitem_9: None, getattr_6: None, long: None}",,getattr_1,getitem_3,False,,"{'nn_module_stack': OrderedDict([('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)])}","[[1], [1], [1]]","[True, True, True]",True,0.01576959975063801,0.01576959975063801,0,0,"(8, 2048)",torch.float32,ones
