op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, getattr_1: None, size_1: None, bert_embeddings_word_embeddings: None}",<class 'torch.Tensor'>,,size,False,,{},[],[],True,0.0,0.0,0.0,0.0,"(2, 512)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None}",,input_ids,getitem,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.009216000325977802,0.009216000325977802,0.0,0.0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},"{ones: None, expand: None}",,size,getitem_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.008396800048649311,0.008396800048649311,0.0,0.0,"(1,)",,getitem
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},"{add: None, getitem_2: None, expand: None}",,getitem,add,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.009216000325977802,0.009216000325977802,0.0,0.0,"(1,)",,getitem_1
call_function,<built-in function add>,{getitem_1: None},"(getitem_1, 0)",{},{ones: None},,getitem_1,getattr_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.009216000325977802,0.009216000325977802,0.0,0.0,"(1,)",,add
call_function,<built-in function getattr>,{input_ids: None},"(input_ids, 'device')",{},{ones: None},,add,ones,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.009011200256645679,0.009011200256645679,0.0,0.0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x15552dc96d80>,"{getitem: None, add: None, getattr_1: None}","((getitem, add),)",{'device': getattr_1},"{dim: None, dim_1: None, dim_2: None, getitem_3: None}",,getattr_1,bert_embeddings_token_type_ids,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1], [1], [1]]","[True, True, True]",True,0.021299199759960176,0.021299199759960176,0.0,0.0,"(2, 512)",torch.float32,ones
get_attr,bert.embeddings.token_type_ids,{},(),{},{getitem_2: None},,ones,getitem_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[],[],True,0.0,0.0,0.0,0.0,"(1, 512)",torch.int64,bert_embeddings_token_type_ids
call_function,<built-in function getitem>,"{bert_embeddings_token_type_ids: None, getitem_1: None}","(bert_embeddings_token_type_ids, (slice(None, None, None), slice(None, getitem_1, None)))",{},{expand: None},,bert_embeddings_token_type_ids,expand,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1]]","[True, True]",True,0.013107199966907502,0.013107199966907502,0.0,0.0,"(1, 512)",torch.int64,getitem_2
call_method,expand,"{getitem_2: None, getitem: None, getitem_1: None}","(getitem_2, getitem, getitem_1)",{},{bert_embeddings_token_type_embeddings: None},,getitem_2,dim,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1], [1]]","[True, True, True]",False,0.011673600226640702,0.011673600226640702,0.0,0.0,"(2, 512)",torch.int64,expand
call_method,dim,{ones: None},"(ones,)",{},{eq: None},,expand,eq,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.008806400187313556,0.008806400187313556,0.0,0.0,"(1,)",,dim
call_function,<built-in function eq>,{dim: None},"(dim, 2)",{},{},,dim,dim_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.008191999979317188,0.008191999979317188,0.0,0.0,"(1,)",,eq
call_method,dim,{ones: None},"(ones,)",{},{eq_1: None},,eq,eq_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.008396800048649311,0.008396800048649311,0.0,0.0,"(1,)",,dim_1
call_function,<built-in function eq>,{dim_1: None},"(dim_1, 3)",{},{},,dim_1,dim_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.008396800048649311,0.008396800048649311,0.0,0.0,"(1,)",,eq_1
call_method,dim,{ones: None},"(ones,)",{},{eq_2: None},,eq_1,eq_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.008191999979317188,0.008191999979317188,0.0,0.0,"(1,)",,dim_2
call_function,<built-in function eq>,{dim_2: None},"(dim_2, 2)",{},{},,dim_2,getitem_3,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.008191999979317188,0.008191999979317188,0.0,0.0,"(1,)",,eq_2
call_function,<built-in function getitem>,{ones: None},"(ones, (slice(None, None, None), None, None, slice(None, None, None)))",{},{to: None},,eq_2,to,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 512]]",[True],True,0.01720320023596287,0.01720320023596287,0.0,0.0,"(2, 1, 1, 512)",torch.float32,getitem_3
call_method,to,{getitem_3: None},"(getitem_3,)",{'dtype': torch.float32},{sub: None},,getitem_3,sub,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 1, 1, 512]]",[True],True,0.009216000325977802,0.009216000325977802,0.0,0.0,"(2, 1, 1, 512)",torch.float32,to
call_function,<built-in function sub>,{to: None},"(1.0, to)",{},{mul: None},,to,mul,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 1, 1, 512]]",[True],True,0.023552000522613525,0.023552000522613525,0.0,0.0,"(2, 1, 1, 512)",torch.float32,sub
call_function,<built-in function mul>,{sub: None},"(sub, -3.4028234663852886e+38)",{},{add_7: None},,sub,size_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[2, 1, 1, 512]]",[True],True,0.02170879989862442,0.02170879989862442,0.0,0.0,"(2, 1, 1, 512)",torch.float32,mul
call_method,size,{input_ids: None},"(input_ids,)",{},{getitem_4: None},,mul,getitem_4,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}","[[2, 512]]",[True],True,0.008806400187313556,0.008806400187313556,0.0,0.0,"(1,)",,size_1
call_function,<built-in function getitem>,{size_1: None},"(size_1, 1)",{},{add_1: None},,size_1,bert_embeddings_position_ids,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}",[[1]],[True],True,0.008191999979317188,0.008191999979317188,0.0,0.0,"(1,)",,getitem_4
get_attr,bert.embeddings.position_ids,{},(),{},{getitem_5: None},,getitem_4,add_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}",[],[],True,0.0,0.0,0.0,0.0,"(1, 512)",torch.int64,bert_embeddings_position_ids
call_function,<built-in function add>,{getitem_4: None},"(getitem_4, 0)",{},{getitem_5: None},,bert_embeddings_position_ids,getitem_5,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}",[[1]],[True],True,0.008191999979317188,0.008191999979317188,0.0,0.0,"(1,)",,add_1
call_function,<built-in function getitem>,"{bert_embeddings_position_ids: None, add_1: None}","(bert_embeddings_position_ids, (slice(None, None, None), slice(0, add_1, None)))",{},{bert_embeddings_position_embeddings: None},,add_1,bert_embeddings_word_embeddings,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}","[[1, 512], [1]]","[True, True]",True,0.01228800043463707,0.01228800043463707,0.0,0.0,"(1, 512)",torch.int64,getitem_5
call_module,bert.embeddings.word_embeddings,{input_ids: None},"(input_ids,)",{},{add_2: None},,getitem_5,bert_embeddings_token_type_embeddings,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>), ('bert.embeddings.word_embeddings', <class 'torch.nn.modules.sparse.Embedding'>)])}","[[2, 512]]",[True],True,0.43950080797076224,0.033382400125265124,0.17530880570411683,0.2308096021413803,"(2, 512, 1024)",torch.float32,bert_embeddings_word_embeddings
call_module,bert.embeddings.token_type_embeddings,{expand: None},"(expand,)",{},{add_2: None},,bert_embeddings_word_embeddings,add_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>), ('bert.embeddings.token_type_embeddings', <class 'torch.nn.modules.sparse.Embedding'>)])}","[[2, 512]]",[False],True,0.17551359981298448,0.04710400104522705,0.1085439994931221,0.019865599274635316,"(2, 512, 1024)",torch.float32,bert_embeddings_token_type_embeddings
call_function,<built-in function add>,"{bert_embeddings_word_embeddings: None, bert_embeddings_token_type_embeddings: None}","(bert_embeddings_word_embeddings, bert_embeddings_token_type_embeddings)",{},{add_3: None},,bert_embeddings_token_type_embeddings,bert_embeddings_position_embeddings,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}","[[2, 512, 1024], [2, 512, 1024]]","[True, True]",True,0.029695999808609486,0.02088959962129593,0.008806400187313556,0.0,"(2, 512, 1024)",torch.float32,add_2
call_module,bert.embeddings.position_embeddings,{getitem_5: None},"(getitem_5,)",{},{add_3: None},,add_2,add_3,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>), ('bert.embeddings.position_embeddings', <class 'torch.nn.modules.sparse.Embedding'>)])}","[[1, 512]]",[True],True,0.0851967990398407,0.03256319984793663,0.033177600055932996,0.01945599913597107,"(1, 512, 1024)",torch.float32,bert_embeddings_position_embeddings
call_function,<built-in function add>,"{add_2: None, bert_embeddings_position_embeddings: None}","(add_2, bert_embeddings_position_embeddings)",{},{bert_embeddings_layer_norm: None},,bert_embeddings_position_embeddings,bert_embeddings_layer_norm,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>)])}","[[2, 512, 1024], [1, 512, 1024]]","[True, True]",True,0.031744000501930714,0.02252800017595291,0.009216000325977802,0.0,"(2, 512, 1024)",torch.float32,add_3
call_module,bert.embeddings.LayerNorm,{add_3: None},"(add_3,)",{},{bert_embeddings_dropout: None},,add_3,bert_embeddings_dropout,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>), ('bert.embeddings', <class 'transformers.models.bert.modeling_bert.BertEmbeddings'>), ('bert.embeddings.LayerNorm', <class 'torch.nn.modules.normalization.LayerNorm'>)])}","[[2, 512, 1024]]",[True],True,0.10833920165896416,0.03686400130391121,0.03379200026392937,0.03768320009112358,"(2, 512, 1024)",torch.float32,bert_embeddings_layer_norm
