op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, getattr_1: None, size_1: None, bert_embeddings_word_embeddings: None}",<class 'torch.Tensor'>,,size,False,,{},[],[],True,0.0,0.0,0,0,"(16, 512)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None}",,input_ids,getitem,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,0.007283199951052666,0.007283199951052666,0,0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},"{ones: None, expand: None}",,size,getitem_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.007116799987852573,0.007116799987852573,0,0,"(1,)",,getitem
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},"{add: None, getitem_2: None, expand: None}",,getitem,add,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.007161599956452847,0.007161599956452847,0,0,"(1,)",,getitem_1
call_function,<built-in function add>,{getitem_1: None},"(getitem_1, 0)",{},{ones: None},,getitem_1,getattr_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,0.007046399917453527,0.007046399917453527,0,0,"(1,)",,add
call_function,<built-in function getattr>,{input_ids: None},"(input_ids, 'device')",{},{ones: None},,add,ones,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,0.007129599992185831,0.007129599992185831,0,0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x15552dc96d80>,"{getitem: None, add: None, getattr_1: None}","((getitem, add),)",{'device': getattr_1},"{dim: None, dim_1: None, dim_2: None, getitem_3: None}",,getattr_1,bert_embeddings_token_type_ids,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1], [1], [1]]","[True, True, True]",True,0.012268800288438797,0.012268800288438797,0,0,"(16, 512)",torch.float32,ones
get_attr,bert.embeddings.token_type_ids,{},(),{},{getitem_2: None},,ones,getitem_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[],[],True,0.0,0.0,0,0,"(1, 512)",torch.int64,bert_embeddings_token_type_ids
call_function,<built-in function getitem>,"{bert_embeddings_token_type_ids: None, getitem_1: None}","(bert_embeddings_token_type_ids, (slice(None, None, None), slice(None, getitem_1, None)))",{},{expand: None},,bert_embeddings_token_type_ids,expand,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1]]","[True, True]",True,0.009056000038981438,0.009056000038981438,0,0,"(1, 512)",torch.int64,getitem_2
call_method,expand,"{getitem_2: None, getitem: None, getitem_1: None}","(getitem_2, getitem, getitem_1)",{},{bert_embeddings_token_type_embeddings: None},,getitem_2,dim,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1], [1]]","[True, True, True]",False,0.0085055997595191,0.0085055997595191,0,0,"(16, 512)",torch.int64,expand
call_method,dim,{ones: None},"(ones,)",{},{eq: None},,expand,eq,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,0.006828800030052662,0.006828800030052662,0,0,"(1,)",,dim
