op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,e2e_latency,fw_latency,bwall_latency,bw_latency,acc_latency,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, view: None}",<class 'torch.Tensor'>,,decoder_input_ids,False,,{},[],[],True,0.0,0.0,0.0,0,0.0,"(1, 512)",torch.int64,input_ids
placeholder,decoder_input_ids,{},(),{},"{size_37: None, view_49: None}",<class 'torch.Tensor'>,input_ids,decoder_attention_mask,False,,{},[],[],True,0.0,0.0,0.0,0,0.0,"(1, 512)",torch.int64,decoder_input_ids
placeholder,decoder_attention_mask,{},(),{},"{dim_3: None, dim_4: None, dim_5: None, getattr_143: None, getattr_144: None, size_40: None, getitem_197: None}",<class 'torch.Tensor'>,decoder_input_ids,size,False,,{},[],[],True,0.0,0.0,0.0,0,0.0,"(1, 512)",torch.int64,decoder_attention_mask
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None, getitem_2: None}",,decoder_attention_mask,getitem,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512]]",[True],True,0.012288000434637,0.012288000434637,0.0,0,0.0,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, -1)",{},{view: None},,size,view,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,getitem
call_method,view,"{input_ids: None, getitem: None}","(input_ids, -1, getitem)",{},{encoder_embed_tokens: None},,getitem,encoder_embed_tokens,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512], [1]]","[True, True]",True,0.0163839999586343,0.0163839999586343,0.0,0,0.0,"(1, 512)",torch.int64,view
call_module,encoder.embed_tokens,{view: None},"(view,)",{},"{getattr_1: None, encoder_dropout: None}",,view,getitem_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)), ('encoder.embed_tokens', ('encoder.embed_tokens', <class 'torch.nn.modules.sparse.Embedding'>))])}","[[1, 512]]",[True],True,0.0460800006985664,0.0460800006985664,0.0,0,0.0,"(1, 512, 768)",torch.float32,encoder_embed_tokens
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},{ones: None},,encoder_embed_tokens,getitem_2,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,getitem_1
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},{ones: None},,getitem_1,getattr_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,getitem_2
call_function,<built-in function getattr>,{encoder_embed_tokens: None},"(encoder_embed_tokens, 'device')",{},{ones: None},,getitem_2,ones,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512, 768]]",[True],True,0.0122239999473094,0.0122239999473094,0.0,0,0.0,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x7fb1e8ae7760>,"{getitem_1: None, getitem_2: None, getattr_1: None}","(getitem_1, getitem_2)",{'device': getattr_1},"{dim: None, dim_1: None, dim_2: None, getitem_3: None}",,getattr_1,dim,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1], [1], [1]]","[True, True, True]",True,0.0266239996999502,0.0266239996999502,0.0,0,0.0,"(1, 512)",torch.float32,ones
call_method,dim,{ones: None},"(ones,)",{},{eq_1: None},,ones,eq_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512]]",[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,dim
call_function,<built-in function eq>,{dim: None},"(dim, 2)",{},{},,dim,dim_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,eq_1
call_method,dim,{ones: None},"(ones,)",{},{eq_2: None},,eq_1,eq_2,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512]]",[True],True,0.012288000434637,0.012288000434637,0.0,0,0.0,"(1,)",,dim_1
call_function,<built-in function eq>,{dim_1: None},"(dim_1, 3)",{},{},,dim_1,dim_2,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,eq_2
call_method,dim,{ones: None},"(ones,)",{},{eq_3: None},,eq_2,eq_3,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512]]",[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,dim_2
call_function,<built-in function eq>,{dim_2: None},"(dim_2, 2)",{},{},,dim_2,getitem_3,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}",[[1]],[True],True,0.0112640000879764,0.0112640000879764,0.0,0,0.0,"(1,)",,eq_3
call_function,<built-in function getitem>,{ones: None},"(ones, (slice(None, None, None), None, None, slice(None, None, None)))",{},{to: None},,eq_3,to,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 512]]",[True],True,0.0245760008692741,0.0245760008692741,0.0,0,0.0,"(1, 1, 1, 512)",torch.float32,getitem_3
call_method,to,{getitem_3: None},"(getitem_3,)",{'dtype': torch.float32},{sub: None},,getitem_3,sub,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 1, 1, 512]]",[True],True,0.0133119998499751,0.0133119998499751,0.0,0,0.0,"(1, 1, 1, 512)",torch.float32,to
call_function,<built-in function sub>,{to: None},"(1.0, to)",{},{mul: None},,to,mul,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 1, 1, 512]]",[True],True,0.0317439995706081,0.0317439995706081,0.0,0,0.0,"(1, 1, 1, 512)",torch.float32,sub
call_function,<built-in function mul>,{sub: None},"(sub, -3.4028234663852886e+38)",{},{add_4: None},,sub,encoder_dropout,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>))])}","[[1, 1, 1, 512]]",[True],True,0.029696000739932,0.029696000739932,0.0,0,0.0,"(1, 1, 1, 512)",torch.float32,mul
call_module,encoder.dropout,{encoder_embed_tokens: None},"(encoder_embed_tokens,)",{},"{to_1: None, mul_1: None, add_6: None}",,mul,to_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)), ('encoder.dropout', ('encoder.dropout', <class 'torch.nn.modules.dropout.Dropout'>))])}","[[1, 512, 768]]",[True],True,0.019455999135971,0.019455999135971,0.0,0,0.0,"(1, 512, 768)",torch.float32,encoder_dropout
call_method,to,{encoder_dropout: None},"(encoder_dropout, torch.float32)",{},{pow_1: None},,encoder_dropout,pow_1,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)), ('encoder.block.0', ('encoder.block.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)), ('encoder.block.0.layer.0', ('encoder.block.0.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>)), ('encoder.block.0.layer.0.layer_norm', ('encoder.block.0.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>))])}","[[1, 512, 768]]",[True],True,0.0132799996063113,0.0132799996063113,0.0,0,0.0,"(1, 512, 768)",torch.float32,to_1
call_method,pow,{to_1: None},"(to_1, 2)",{},{mean: None},,to_1,mean,False,,"{'nn_module_stack': OrderedDict([('encoder', ('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>)), ('encoder.block.0', ('encoder.block.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)), ('encoder.block.0.layer.0', ('encoder.block.0.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>)), ('encoder.block.0.layer.0.layer_norm', ('encoder.block.0.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>))])}","[[1, 512, 768]]",[True],True,0.029696000739932,0.029696000739932,0.0,0,0.0,"(1, 512, 768)",torch.float32,pow_1
