Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'view', 'size'}",[],"(8, 1024)"
size,misc,[],[],[],{'input_ids'},"{'getitem_3', 'getitem_2', 'getitem'}","[(8, 1024)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'input_ids', 'getitem'}","{'transformer_wte~getattr_1~add~arange~unsqueeze~transformer_wpe~add_1~transformer_drop', 'size_1'}","[(8, 1024), (1,)]","(8, 1024)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(8, 1024)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'transformer_wte~getattr_1~add~arange~unsqueeze~transformer_wpe~add_1~transformer_drop'},"[(1,)]","(1,)"
transformer_wte~getattr_1~add~arange~unsqueeze~transformer_wpe~add_1~transformer_drop,fused,"[['MEM', ((8, 1024), (8, 1024, 1280))], ['VECadd', (8192, 1280)]]",[],[],"{'getitem_2', 'view'}","{'add_9~view_8~transformer_h_0_attn_resid_dropout~add_10', 'transformer_h_0_ln_1', 'add_434~view_432~transformer_h_35_mlp_dropout~add_435~transformer_ln_f~size_2~add_2~add_3~view_433'}","[(8, 1024), (1,)]","(8, 1024, 1280)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'add_434~view_432~transformer_h_35_mlp_dropout~add_435~transformer_ln_f~size_2~add_2~add_3~view_433'},"[(1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (8192, 1280)]]",[],[],{'transformer_wte~getattr_1~add~arange~unsqueeze~transformer_wpe~add_1~transformer_drop'},"{'size_4~view_1', 'size_3'}","[(8, 1024, 1280)]","(8, 1024, 1280)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(8, 1024, 1280)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_3'},{'add_4~view_2~split'},"[(1,)]","(1,)"
add_4~view_2~split,fused,[],[],[],"{'getitem_4', 'addmm'}","{'getitem_7', 'getitem_5', 'getitem_6'}","[(1,), (8192, 3840)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addmm'},[],"(3840,)"
size_4~view_1,fused,[],[],[],{'transformer_h_0_ln_1'},{'addmm'},"[(8, 1024, 1280)]","(8192, 1280)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addmm'},[],"(1280, 3840)"
addmm,Linear,"[['Linear', (8192, 1280, 3840)]]",[],[],"{'transformer_h_0_attn_c_attn_weight', 'transformer_h_0_attn_c_attn_bias', 'size_4~view_1'}",{'add_4~view_2~split'},"[(1280, 3840), (3840,), (8192, 1280)]","(8192, 3840)"
getitem_5,getitem,"[['MEM', ((1,), (8, 1024, 1280))]]",[],[],{'add_4~view_2~split'},"{'add_5~view_3~permute', 'size_5'}","[(1,)]","(8, 1024, 1280)"
getitem_6,getitem,"[['MEM', ((1,), (8, 1024, 1280))]]",[],[],{'add_4~view_2~split'},"{'add_6~view_4~permute_1', 'size_6'}","[(1,)]","(8, 1024, 1280)"
getitem_7,getitem,"[['MEM', ((1,), (8, 1024, 1280))]]",[],[],{'add_4~view_2~split'},"{'size_7', 'add_7~view_5~permute_2'}","[(1,)]","(8, 1024, 1280)"
size_5,misc,[],[],[],{'getitem_5'},{'getitem_8'},"[(8, 1024, 1280)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_5'},{'add_5~view_3~permute'},"[(1,)]","(1,)"
add_5~view_3~permute,fused,[],[],[],"{'getitem_8', 'getitem_5'}","{'matmul', 'size_9~sub'}","[(1,), (8, 1024, 1280)]","(8, 20, 1024, 64)"
size_6,misc,[],[],[],{'getitem_6'},{'getitem_9'},"[(8, 1024, 1280)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_6'},{'add_6~view_4~permute_1'},"[(1,)]","(1,)"
add_6~view_4~permute_1,fused,[],[],[],"{'getitem_9', 'getitem_6'}","{'size_10', 'transpose', 'output'}","[(1,), (8, 1024, 1280)]","(8, 20, 1024, 64)"
size_7,misc,[],[],[],{'getitem_7'},{'getitem_10'},"[(8, 1024, 1280)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_7'},{'add_7~view_5~permute_2'},"[(1,)]","(1,)"
add_7~view_5~permute_2,fused,[],[],[],"{'getitem_10', 'getitem_7'}","{'getattr_9~softmax~type_1~transformer_h_0_attn_attn_dropout', 'matmul_1', 'output', 'getattr_3~getattr_2~size_8~pow_1~full~truediv'}","[(1,), (8, 1024, 1280)]","(8, 20, 1024, 64)"
transpose,misc,[],[],[],{'add_6~view_4~permute_1'},{'matmul'},"[(8, 20, 1024, 64)]","(8, 20, 64, 1024)"
matmul,BMM,"[['BMM', (160, 1024, 64, 1024)]]",[],[],"{'add_5~view_3~permute', 'transpose'}",{'getattr_3~getattr_2~size_8~pow_1~full~truediv'},"[(8, 20, 64, 1024), (8, 20, 1024, 64)]","(8, 20, 1024, 1024)"
getattr_3~getattr_2~size_8~pow_1~full~truediv,fused,"[['VECdiv', (163840, 1024)]]",[],[],"{'matmul', 'add_7~view_5~permute_2'}","{'getattr_8~to', 'getattr_7~getattr_6~getattr_4~finfo~getattr_5~full_1'}","[(8, 20, 1024, 1024), (8, 20, 1024, 64)]","(8, 20, 1024, 1024)"
