Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'view', 'size'}",[],"(16, 1024)"
size,misc,[],[],[],{'input_ids'},"{'getitem_3', 'getitem', 'getitem_2'}","[(16, 1024)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'input_ids', 'getitem'}","{'size_1', 'transformer_wte', 'getattr_1'}","[(16, 1024), (1,)]","(16, 1024)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(16, 1024)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'arange'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'view'},{'arange'},"[(16, 1024)]","(1,)"
arange,misc,[],[],[],"{'add', 'getattr_1'}",{'unsqueeze'},"[(1,), (1,)]","(1024,)"
unsqueeze,misc,[],[],[],{'arange'},{'transformer_wpe'},"[(1024,)]","(1, 1024)"
transformer_wte,EMBEDDING,"[['MEM', ((16, 1024), (16, 1024, 1280))]]","[['MEM', ((50257, 1280),)], ['MEM', ((50257, 1280),)]]","[['VECadd', [1, 64328960]]]",{'view'},{'add_1'},"[(16, 1024)]","(16, 1024, 1280)"
transformer_wpe,misc,[],[],[],{'unsqueeze'},{'add_1'},"[(1, 1024)]","(1, 1024, 1280)"
add_1,VECadd,"[['VECadd', (16384, 1280)]]","[['MEM', ((16384, 1280),)], ['MEM', ((16384, 1280),)]]",[],"{'transformer_wpe', 'transformer_wte'}",{'transformer_drop'},"[(16, 1024, 1280), (1, 1024, 1280)]","(16, 1024, 1280)"
transformer_drop,dropout,"[['MEM', ((16, 1024, 1280), (16, 1024, 1280))]]","[['MEM', ((16, 1024, 1280),)], ['MEM', ((16, 1024, 1280),)]]",[],{'add_1'},"{'size_2', 'add_10', 'transformer_h_0_ln_1'}","[(16, 1024, 1280)]","(16, 1024, 1280)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add_2'},"[(1,)]","(1,)"
add_2,misc,[],[],[],{'getitem_3'},{'add_3'},"[(1,)]","(1,)"
size_2,misc,[],[],[],{'transformer_drop'},{'add_3'},"[(16, 1024, 1280)]","(1,)"
add_3,misc,[],[],[],"{'size_2', 'add_2'}",{'view_13'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (16384, 1280)]]","[['VECmul', (16384, 1280)]]","[['VECadd', [1, 1280]], ['VECadd', [1, 1280]]]",{'transformer_drop'},"{'size_4', 'view_1', 'size_3'}","[(16, 1024, 1280)]","(16, 1024, 1280)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(16, 1024, 1280)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_3'},{'add_4'},"[(1,)]","(1,)"
add_4,misc,[],[],[],{'getitem_4'},{'view_2'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addmm'},[],"(3840,)"
size_4,misc,[],[],[],{'transformer_h_0_ln_1'},{'view_1'},"[(16, 1024, 1280)]","(1,)"
view_1,misc,[],[],[],"{'transformer_h_0_ln_1', 'size_4'}",{'addmm'},"[(16, 1024, 1280), (1,)]","(16384, 1280)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addmm'},[],"(1280, 3840)"
addmm,Linear,"[['Linear', (16384, 1280, 3840)]]","[['Linear', (16384, 3840, 1280)], ['Linear', (3840, 16384, 1280)]]","[['VECadd', [1, 4915200]], ['VECadd', [1, 3840]]]","{'view_1', 'transformer_h_0_attn_c_attn_bias', 'transformer_h_0_attn_c_attn_weight'}",{'view_2'},"[(3840,), (16384, 1280), (1280, 3840)]","(16384, 3840)"
view_2,misc,[],[],[],"{'add_4', 'addmm'}",{'split'},"[(16384, 3840), (1,)]","(16, 1024, 3840)"
split,misc,[],[],[],{'view_2'},"{'getitem_7', 'getitem_5', 'getitem_6'}","[(16, 1024, 3840)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (16, 1024, 1280))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'size_5', 'view_3'}","[(1,)]","(16, 1024, 1280)"
getitem_6,getitem,"[['MEM', ((1,), (16, 1024, 1280))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'size_6', 'view_4'}","[(1,)]","(16, 1024, 1280)"
getitem_7,getitem,"[['MEM', ((1,), (16, 1024, 1280))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'view_5', 'size_7'}","[(1,)]","(16, 1024, 1280)"
size_5,misc,[],[],[],{'getitem_5'},{'getitem_8'},"[(16, 1024, 1280)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_5'},{'add_5'},"[(1,)]","(1,)"
add_5,misc,[],[],[],{'getitem_8'},{'view_3'},"[(1,)]","(1,)"
view_3,misc,[],[],[],"{'add_5', 'getitem_5'}",{'permute'},"[(16, 1024, 1280), (1,)]","(16, 1024, 20, 64)"
permute,misc,[],[],[],{'view_3'},"{'matmul', 'size_9'}","[(16, 1024, 20, 64)]","(16, 20, 1024, 64)"
size_6,misc,[],[],[],{'getitem_6'},{'getitem_9'},"[(16, 1024, 1280)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_6'},{'add_6'},"[(1,)]","(1,)"
add_6,misc,[],[],[],{'getitem_9'},{'view_4'},"[(1,)]","(1,)"
view_4,misc,[],[],[],"{'add_6', 'getitem_6'}",{'permute_1'},"[(16, 1024, 1280), (1,)]","(16, 1024, 20, 64)"
permute_1,misc,[],[],[],{'view_4'},"{'transpose', 'output', 'size_10'}","[(16, 1024, 20, 64)]","(16, 20, 1024, 64)"
size_7,misc,[],[],[],{'getitem_7'},{'getitem_10'},"[(16, 1024, 1280)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_7'},{'add_7'},"[(1,)]","(1,)"
add_7,misc,[],[],[],{'getitem_10'},{'view_5'},"[(1,)]","(1,)"
view_5,misc,[],[],[],"{'getitem_7', 'add_7'}",{'permute_2'},"[(16, 1024, 1280), (1,)]","(16, 1024, 20, 64)"
permute_2,misc,[],[],[],{'view_5'},"{'getattr_9', 'size_8', 'output', 'matmul_1'}","[(16, 1024, 20, 64)]","(16, 20, 1024, 64)"
transpose,misc,[],[],[],{'permute_1'},{'matmul'},"[(16, 20, 1024, 64)]","(16, 20, 64, 1024)"
matmul,BMM,"[['BMM', (320, 1024, 64, 1024)]]","[['BMM', (320, 1024, 1024, 64)], ['BMM', (320, 64, 1024, 1024)]]",[],"{'transpose', 'permute'}","{'getattr_2', 'getattr_3', 'truediv'}","[(16, 20, 1024, 64), (16, 20, 64, 1024)]","(16, 20, 1024, 1024)"
size_8,misc,[],[],[],{'permute_2'},{'pow_1'},"[(16, 20, 1024, 64)]","(1,)"
pow_1,misc,[],[],[],{'size_8'},{'full'},"[(1,)]","(1,)"
getattr_2,misc,[],[],[],{'matmul'},{'full'},"[(16, 20, 1024, 1024)]","(1,)"
