Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'size', 'view'}",[],"(4, 1024)"
size,misc,[],[],[],{'input_ids'},"{'getitem_2', 'getitem', 'getitem_3'}","[(4, 1024)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'getitem', 'input_ids'}","{'transformer_wte', 'getattr_1', 'size_1'}","[(4, 1024), (1,)]","(4, 1024)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(4, 1024)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'arange'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'view'},{'arange'},"[(4, 1024)]","(1,)"
arange,misc,[],[],[],"{'getattr_1', 'add'}",{'unsqueeze'},"[(1,), (1,)]","(1024,)"
unsqueeze,misc,[],[],[],{'arange'},{'transformer_wpe'},"[(1024,)]","(1, 1024)"
transformer_wte,EMBEDDING,"[['MEM', ((4, 1024), (4, 1024, 1280))]]","[('MEM', ((12564, 1280),)), ('MEM', ((12564, 1280),))]","[('VECadd', [1, 16081920])]",{'view'},{'add_1'},"[(4, 1024)]","(4, 1024, 1280)"
reduce_from_tensor_model_parallel_region,allreduce,"[['ALLREDUCE', (5242880,)]]","[['ALLREDUCE', (5242880,)]]",[],set(),set(),[],[]
transformer_wpe,misc,[],[],[],{'unsqueeze'},{'add_1'},"[(1, 1024)]","(1, 1024, 1280)"
add_1,VECadd,"[['VECadd', (4096, 1280)]]","[['MEM', ((4096, 1280),)], ['MEM', ((4096, 1280),)]]",[],"{'transformer_wpe', 'transformer_wte'}",{'transformer_drop'},"[(4, 1024, 1280), (1, 1024, 1280)]","(4, 1024, 1280)"
transformer_drop,dropout,"[['MEM', ((4, 1024, 1280), (4, 1024, 1280))]]","[['MEM', ((4, 1024, 1280),)], ['MEM', ((4, 1024, 1280),)]]",[],{'add_1'},"{'add_10', 'transformer_h_0_ln_1', 'size_2'}","[(4, 1024, 1280)]","(4, 1024, 1280)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add_2'},"[(1,)]","(1,)"
add_2,misc,[],[],[],{'getitem_3'},{'add_3'},"[(1,)]","(1,)"
size_2,misc,[],[],[],{'transformer_drop'},{'add_3'},"[(4, 1024, 1280)]","(1,)"
add_3,misc,[],[],[],"{'add_2', 'size_2'}",{'view_13'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (4096, 1280)]]","[['VECmul', (4096, 1280)]]","[['VECadd', [1, 1280]], ['VECadd', [1, 1280]]]",{'transformer_drop'},"{'size_4', 'size_3', 'view_1'}","[(4, 1024, 1280)]","(4, 1024, 1280)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(4, 1024, 1280)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_3'},{'add_4'},"[(1,)]","(1,)"
