Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'size', 'view'}",[],"(8, 2048)"
size,misc,[],[],[],{'input_ids'},"{'getitem', 'getitem_3', 'getitem_2'}","[(8, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'getitem', 'input_ids'}","{'getattr_1', 'transformer_wte', 'size_1'}","[(8, 2048), (1,)]","(8, 2048)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(8, 2048)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'arange'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'view'},{'arange'},"[(8, 2048)]","(1,)"
arange,misc,[],[],[],"{'add', 'getattr_1'}",{'unsqueeze'},"[(1,), (1,)]","(2048,)"
unsqueeze,misc,[],[],[],{'arange'},{'transformer_wpe'},"[(2048,)]","(1, 2048)"
transformer_wte,EMBEDDING,"[['MEM', ((8, 2048), (8, 2048, 2560))]]",[],[],{'view'},{'add_1'},"[(8, 2048)]","(8, 2048, 2560)"
transformer_wpe,misc,[],[],[],{'unsqueeze'},{'add_1'},"[(1, 2048)]","(1, 2048, 2560)"
add_1,VECadd,"[['VECadd', (16384, 2560)]]",[],[],"{'transformer_wte', 'transformer_wpe'}",{'transformer_drop'},"[(8, 2048, 2560), (1, 2048, 2560)]","(8, 2048, 2560)"
transformer_drop,misc,[],[],[],{'add_1'},"{'size_2', 'transformer_h_0_ln_1', 'add_10'}","[(8, 2048, 2560)]","(8, 2048, 2560)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'add_2'},"[(1,)]","(1,)"
add_2,misc,[],[],[],{'getitem_3'},{'add_3'},"[(1,)]","(1,)"
size_2,misc,[],[],[],{'transformer_drop'},{'add_3'},"[(8, 2048, 2560)]","(1,)"
add_3,misc,[],[],[],"{'add_2', 'size_2'}",{'view_13'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (16384, 2560)]]",[],[],{'transformer_drop'},"{'size_4', 'size_3', 'view_1'}","[(8, 2048, 2560)]","(8, 2048, 2560)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(8, 2048, 2560)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_3'},{'add_4'},"[(1,)]","(1,)"
add_4,misc,[],[],[],{'getitem_4'},{'view_2'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addmm'},[],"(7680,)"
size_4,misc,[],[],[],{'transformer_h_0_ln_1'},{'view_1'},"[(8, 2048, 2560)]","(1,)"
view_1,misc,[],[],[],"{'size_4', 'transformer_h_0_ln_1'}",{'addmm'},"[(8, 2048, 2560), (1,)]","(16384, 2560)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addmm'},[],"(2560, 7680)"
addmm,Linear,"[['Linear', (16384, 2560, 7680)]]",[],[],"{'view_1', 'transformer_h_0_attn_c_attn_weight', 'transformer_h_0_attn_c_attn_bias'}",{'view_2'},"[(7680,), (16384, 2560), (2560, 7680)]","(16384, 7680)"
view_2,misc,[],[],[],"{'addmm', 'add_4'}",{'split'},"[(16384, 7680), (1,)]","(8, 2048, 7680)"
split,misc,[],[],[],{'view_2'},"{'getitem_5', 'getitem_7', 'getitem_6'}","[(8, 2048, 7680)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (8, 2048, 2560))]]",[],[],{'split'},"{'size_5', 'view_3'}","[(1,)]","(8, 2048, 2560)"
getitem_6,getitem,"[['MEM', ((1,), (8, 2048, 2560))]]",[],[],{'split'},"{'view_4', 'size_6'}","[(1,)]","(8, 2048, 2560)"
getitem_7,getitem,"[['MEM', ((1,), (8, 2048, 2560))]]",[],[],{'split'},"{'view_5', 'size_7'}","[(1,)]","(8, 2048, 2560)"
size_5,misc,[],[],[],{'getitem_5'},{'getitem_8'},"[(8, 2048, 2560)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_5'},{'add_5'},"[(1,)]","(1,)"
add_5,misc,[],[],[],{'getitem_8'},{'view_3'},"[(1,)]","(1,)"
view_3,misc,[],[],[],"{'getitem_5', 'add_5'}",{'permute'},"[(8, 2048, 2560), (1,)]","(8, 2048, 32, 80)"
permute,misc,[],[],[],{'view_3'},"{'size_9', 'matmul'}","[(8, 2048, 32, 80)]","(8, 32, 2048, 80)"
size_6,misc,[],[],[],{'getitem_6'},{'getitem_9'},"[(8, 2048, 2560)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_6'},{'add_6'},"[(1,)]","(1,)"
add_6,misc,[],[],[],{'getitem_9'},{'view_4'},"[(1,)]","(1,)"
view_4,misc,[],[],[],"{'add_6', 'getitem_6'}",{'permute_1'},"[(8, 2048, 2560), (1,)]","(8, 2048, 32, 80)"
permute_1,misc,[],[],[],{'view_4'},"{'output', 'size_10', 'transpose'}","[(8, 2048, 32, 80)]","(8, 32, 2048, 80)"
size_7,misc,[],[],[],{'getitem_7'},{'getitem_10'},"[(8, 2048, 2560)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_7'},{'add_7'},"[(1,)]","(1,)"
add_7,misc,[],[],[],{'getitem_10'},{'view_5'},"[(1,)]","(1,)"
view_5,misc,[],[],[],"{'getitem_7', 'add_7'}",{'permute_2'},"[(8, 2048, 2560), (1,)]","(8, 2048, 32, 80)"
permute_2,misc,[],[],[],{'view_5'},"{'output', 'size_8', 'getattr_9', 'matmul_1'}","[(8, 2048, 32, 80)]","(8, 32, 2048, 80)"
transpose,misc,[],[],[],{'permute_1'},{'matmul'},"[(8, 32, 2048, 80)]","(8, 32, 80, 2048)"
matmul,BMM,"[['BMM', (256, 2048, 80, 2048)]]",[],[],"{'permute', 'transpose'}","{'truediv', 'getattr_3', 'getattr_2'}","[(8, 32, 2048, 80), (8, 32, 80, 2048)]","(8, 32, 2048, 2048)"
size_8,misc,[],[],[],{'permute_2'},{'pow_1'},"[(8, 32, 2048, 80)]","(1,)"
pow_1,misc,[],[],[],{'size_8'},{'full'},"[(1,)]","(1,)"
getattr_2,misc,[],[],[],{'matmul'},{'full'},"[(8, 32, 2048, 2048)]","(1,)"
getattr_3,misc,[],[],[],{'matmul'},{'full'},"[(8, 32, 2048, 2048)]","(1,)"
full,misc,[],[],[],"{'pow_1', 'getattr_3', 'getattr_2'}",{'truediv'},"[(1,), (1,), (1,)]","(1,)"
truediv,VECdiv,"[['VECdiv', (524288, 2048)]]",[],[],"{'full', 'matmul'}","{'getattr_4', 'to', 'getattr_8', 'getattr_6', 'getattr_7'}","[(8, 32, 2048, 2048), (1,)]","(8, 32, 2048, 2048)"
size_9,misc,[],[],[],{'permute'},{'sub'},"[(8, 32, 2048, 80)]","(1,)"
size_10,misc,[],[],[],{'permute_1'},"{'sub', 'getitem_11'}","[(8, 32, 2048, 80)]","(1,)"
transformer_h_0_attn_bias,misc,[],[],[],set(),{'getitem_11'},[],"(1, 1, 2048, 2048)"
sub,misc,[],[],[],"{'size_10', 'size_9'}",{'getitem_11'},"[(1,), (1,)]","(1,)"
getitem_11,getitem,"[['MEM', ((1, 1, 2048, 2048), (1,), (1,), (1, 1, 2048, 2048))]]",[],[],"{'transformer_h_0_attn_bias', 'sub', 'size_10'}",{'where'},"[(1, 1, 2048, 2048), (1,), (1,)]","(1, 1, 2048, 2048)"
getattr_4,misc,[],[],[],{'truediv'},{'finfo'},"[(8, 32, 2048, 2048)]","(1,)"
finfo,misc,[],[],[],{'getattr_4'},{'getattr_5'},"[(1,)]","(1,)"
getattr_5,misc,[],[],[],{'finfo'},{'full_1'},"[(1,)]","(1,)"
getattr_6,misc,[],[],[],{'truediv'},{'full_1'},"[(8, 32, 2048, 2048)]","(1,)"
getattr_7,misc,[],[],[],{'truediv'},{'full_1'},"[(8, 32, 2048, 2048)]","(1,)"
full_1,misc,[],[],[],"{'getattr_7', 'getattr_5', 'getattr_6'}",{'where'},"[(1,), (1,), (1,)]","(1,)"
getattr_8,misc,[],[],[],{'truediv'},{'to'},"[(8, 32, 2048, 2048)]","(1,)"
to,misc,[],[],[],"{'getattr_8', 'truediv'}",{'where'},"[(8, 32, 2048, 2048), (1,)]","(8, 32, 2048, 2048)"
where,where,"[['MEM', ((1, 1, 2048, 2048), (8, 32, 2048, 2048), (1,), (8, 32, 2048, 2048))]]",[],[],"{'getitem_11', 'to', 'full_1'}",{'softmax'},"[(1, 1, 2048, 2048), (8, 32, 2048, 2048), (1,)]","(8, 32, 2048, 2048)"
softmax,VECsoftmax,"[['VECsoftmax', (524288, 2048)]]",[],[],{'where'},{'type_1'},"[(8, 32, 2048, 2048)]","(8, 32, 2048, 2048)"
getattr_9,misc,[],[],[],{'permute_2'},{'type_1'},"[(8, 32, 2048, 80)]","(1,)"
type_1,misc,[],[],[],"{'getattr_9', 'softmax'}",{'transformer_h_0_attn_attn_dropout'},"[(8, 32, 2048, 2048), (1,)]","(8, 32, 2048, 2048)"
transformer_h_0_attn_attn_dropout,misc,[],[],[],{'type_1'},{'matmul_1'},"[(8, 32, 2048, 2048)]","(8, 32, 2048, 2048)"
matmul_1,BMM,"[['BMM', (256, 2048, 2048, 80)]]",[],[],"{'permute_2', 'transformer_h_0_attn_attn_dropout'}",{'permute_3'},"[(8, 32, 2048, 2048), (8, 32, 2048, 80)]","(8, 32, 2048, 80)"
permute_3,misc,[],[],[],{'matmul_1'},{'contiguous'},"[(8, 32, 2048, 80)]","(8, 2048, 32, 80)"
contiguous,contiguous,"[['MEM', ((8, 2048, 32, 80), (8, 2048, 32, 80))]]",[],[],{'permute_3'},"{'size_11', 'view_6'}","[(8, 2048, 32, 80)]","(8, 2048, 32, 80)"
size_11,misc,[],[],[],{'contiguous'},{'getitem_12'},"[(8, 2048, 32, 80)]","(1,)"
getitem_12,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_11'},{'add_8'},"[(1,)]","(1,)"
add_8,misc,[],[],[],{'getitem_12'},{'view_6'},"[(1,)]","(1,)"
view_6,misc,[],[],[],"{'add_8', 'contiguous'}","{'size_12', 'size_13', 'view_7'}","[(8, 2048, 32, 80), (1,)]","(8, 2048, 2560)"
size_12,misc,[],[],[],{'view_6'},{'getitem_13'},"[(8, 2048, 2560)]","(1,)"
getitem_13,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_12'},{'add_9'},"[(1,)]","(1,)"
add_9,misc,[],[],[],{'getitem_13'},{'view_8'},"[(1,)]","(1,)"
transformer_h_0_attn_c_proj_bias,misc,[],[],[],set(),{'addmm_1'},[],"(2560,)"
size_13,misc,[],[],[],{'view_6'},{'view_7'},"[(8, 2048, 2560)]","(1,)"
view_7,misc,[],[],[],"{'view_6', 'size_13'}",{'addmm_1'},"[(8, 2048, 2560), (1,)]","(16384, 2560)"
transformer_h_0_attn_c_proj_weight,misc,[],[],[],set(),{'addmm_1'},[],"(2560, 2560)"
addmm_1,Linear,"[['Linear', (16384, 2560, 2560)]]",[],[],"{'transformer_h_0_attn_c_proj_weight', 'transformer_h_0_attn_c_proj_bias', 'view_7'}",{'view_8'},"[(2560,), (16384, 2560), (2560, 2560)]","(16384, 2560)"
view_8,misc,[],[],[],"{'add_9', 'addmm_1'}",{'transformer_h_0_attn_resid_dropout'},"[(16384, 2560), (1,)]","(8, 2048, 2560)"
transformer_h_0_attn_resid_dropout,misc,[],[],[],{'view_8'},{'add_10'},"[(8, 2048, 2560)]","(8, 2048, 2560)"
add_10,VECadd,"[['VECadd', (16384, 2560)]]",[],[],"{'transformer_h_0_attn_resid_dropout', 'transformer_drop'}","{'transformer_h_0_ln_2', 'add_15'}","[(8, 2048, 2560), (8, 2048, 2560)]","(8, 2048, 2560)"
transformer_h_0_ln_2,VECln,"[['VECln', (16384, 2560)]]",[],[],{'add_10'},"{'size_14', 'view_9', 'size_15'}","[(8, 2048, 2560)]","(8, 2048, 2560)"
size_14,misc,[],[],[],{'transformer_h_0_ln_2'},{'getitem_14'},"[(8, 2048, 2560)]","(1,)"
getitem_14,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_14'},{'add_11'},"[(1,)]","(1,)"
add_11,misc,[],[],[],{'getitem_14'},{'view_10'},"[(1,)]","(1,)"
transformer_h_0_mlp_c_fc_bias,misc,[],[],[],set(),{'addmm_2'},[],"(10240,)"
size_15,misc,[],[],[],{'transformer_h_0_ln_2'},{'view_9'},"[(8, 2048, 2560)]","(1,)"
view_9,misc,[],[],[],"{'transformer_h_0_ln_2', 'size_15'}",{'addmm_2'},"[(8, 2048, 2560), (1,)]","(16384, 2560)"
transformer_h_0_mlp_c_fc_weight,misc,[],[],[],set(),{'addmm_2'},[],"(2560, 10240)"
addmm_2,Linear,"[['Linear', (16384, 2560, 10240)]]",[],[],"{'view_9', 'transformer_h_0_mlp_c_fc_weight', 'transformer_h_0_mlp_c_fc_bias'}",{'view_10'},"[(10240,), (16384, 2560), (2560, 10240)]","(16384, 10240)"
view_10,misc,[],[],[],"{'addmm_2', 'add_11'}","{'pow_2', 'add_12', 'mul'}","[(16384, 10240), (1,)]","(8, 2048, 10240)"
mul,VECmulu,"[['VECmulu', (16384, 10240)]]",[],[],{'view_10'},{'mul_3'},"[(8, 2048, 10240)]","(8, 2048, 10240)"
pow_2,VECpowu,"[['VECpowu', (16384, 10240)]]",[],[],{'view_10'},{'mul_1'},"[(8, 2048, 10240)]","(8, 2048, 10240)"
mul_1,VECmulu,"[['VECmulu', (16384, 10240)]]",[],[],{'pow_2'},{'add_12'},"[(8, 2048, 10240)]","(8, 2048, 10240)"
add_12,VECadd,"[['VECadd', (16384, 10240)]]",[],[],"{'view_10', 'mul_1'}",{'mul_2'},"[(8, 2048, 10240), (8, 2048, 10240)]","(8, 2048, 10240)"
