Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'view', 'size'}",[],"(2, 2048)"
size,misc,[],[],[],{'input_ids'},"{'getitem', 'getitem_2', 'getitem_3'}","[(2, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'input_ids', 'getitem'}","{'size_1', 'transformer_wte', 'getattr_1'}","[(2, 2048), (1,)]","(2, 2048)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(2, 2048)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'arange'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'view'},{'arange'},"[(2, 2048)]","(1,)"
arange,misc,[],[],[],"{'getattr_1', 'add'}",{'unsqueeze'},"[(1,), (1,)]","(2048,)"
unsqueeze,misc,[],[],[],{'arange'},{'transformer_wpe'},"[(2048,)]","(1, 2048)"
transformer_wte,EMBEDDING,"[['MEM', ((2, 2048), (2, 2048, 2560))]]","[['MEM', ((50257, 2560),)], ['MEM', ((50257, 2560),)]]","[['VECadd', [1, 128657920]]]",{'view'},{'add_1'},"[(2, 2048)]","(2, 2048, 2560)"
transformer_wpe,misc,[],[],[],{'unsqueeze'},{'add_1'},"[(1, 2048)]","(1, 2048, 2560)"
add_1,VECadd,"[['VECadd', (4096, 2560)]]","[['MEM', ((4096, 2560),)], ['MEM', ((4096, 2560),)]]",[],"{'transformer_wte', 'transformer_wpe'}",{'transformer_drop'},"[(2, 2048, 2560), (1, 2048, 2560)]","(2, 2048, 2560)"
transformer_drop,dropout,"[['MEM', ((2, 2048, 2560), (2, 2048, 2560))]]","[['MEM', ((2, 2048, 2560),)], ['MEM', ((2, 2048, 2560),)]]",[],{'add_1'},"{'size_2', 'transformer_h_0_ln_1', 'add_10'}","[(2, 2048, 2560)]","(2, 2048, 2560)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add_2'},"[(1,)]","(1,)"
add_2,misc,[],[],[],{'getitem_3'},{'add_3'},"[(1,)]","(1,)"
size_2,misc,[],[],[],{'transformer_drop'},{'add_3'},"[(2, 2048, 2560)]","(1,)"
add_3,misc,[],[],[],"{'size_2', 'add_2'}",{'view_13'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (4096, 2560)]]","[['VECmul', (4096, 2560)]]","[['VECadd', [1, 2560]], ['VECadd', [1, 2560]]]",{'transformer_drop'},"{'size_4', 'size_3', 'view_1'}","[(2, 2048, 2560)]","(2, 2048, 2560)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(2, 2048, 2560)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_3'},{'add_4'},"[(1,)]","(1,)"
add_4,misc,[],[],[],{'getitem_4'},{'view_2'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addmm'},[],"(7680,)"
size_4,misc,[],[],[],{'transformer_h_0_ln_1'},{'view_1'},"[(2, 2048, 2560)]","(1,)"
view_1,misc,[],[],[],"{'size_4', 'transformer_h_0_ln_1'}",{'addmm'},"[(2, 2048, 2560), (1,)]","(4096, 2560)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addmm'},[],"(2560, 7680)"
addmm,Linear,"[['Linear', (4096, 2560, 7680)]]","[['Linear', (4096, 7680, 2560)], ['Linear', (7680, 4096, 2560)]]","[['VECadd', [1, 19660800]], ['VECadd', [1, 7680]]]","{'view_1', 'transformer_h_0_attn_c_attn_weight', 'transformer_h_0_attn_c_attn_bias'}",{'view_2'},"[(7680,), (4096, 2560), (2560, 7680)]","(4096, 7680)"
view_2,misc,[],[],[],"{'addmm', 'add_4'}",{'split'},"[(4096, 7680), (1,)]","(2, 2048, 7680)"
split,misc,[],[],[],{'view_2'},"{'getitem_6', 'getitem_5', 'getitem_7'}","[(2, 2048, 7680)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'size_5', 'view_3'}","[(1,)]","(2, 2048, 2560)"
getitem_6,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'size_6', 'view_4'}","[(1,)]","(2, 2048, 2560)"
getitem_7,getitem,"[['MEM', ((1,), (2, 2048, 2560))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'split'},"{'view_5', 'size_7'}","[(1,)]","(2, 2048, 2560)"
size_5,misc,[],[],[],{'getitem_5'},{'getitem_8'},"[(2, 2048, 2560)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_5'},{'add_5'},"[(1,)]","(1,)"
add_5,misc,[],[],[],{'getitem_8'},{'view_3'},"[(1,)]","(1,)"
view_3,misc,[],[],[],"{'getitem_5', 'add_5'}",{'permute'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute,misc,[],[],[],{'view_3'},"{'size_9', 'matmul'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
size_6,misc,[],[],[],{'getitem_6'},{'getitem_9'},"[(2, 2048, 2560)]","(1,)"
getitem_9,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_6'},{'add_6'},"[(1,)]","(1,)"
add_6,misc,[],[],[],{'getitem_9'},{'view_4'},"[(1,)]","(1,)"
view_4,misc,[],[],[],"{'getitem_6', 'add_6'}",{'permute_1'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute_1,misc,[],[],[],{'view_4'},"{'size_10', 'transpose', 'output'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
size_7,misc,[],[],[],{'getitem_7'},{'getitem_10'},"[(2, 2048, 2560)]","(1,)"
getitem_10,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_7'},{'add_7'},"[(1,)]","(1,)"
add_7,misc,[],[],[],{'getitem_10'},{'view_5'},"[(1,)]","(1,)"
view_5,misc,[],[],[],"{'add_7', 'getitem_7'}",{'permute_2'},"[(2, 2048, 2560), (1,)]","(2, 2048, 32, 80)"
permute_2,misc,[],[],[],{'view_5'},"{'getattr_9', 'matmul_1', 'size_8', 'output'}","[(2, 2048, 32, 80)]","(2, 32, 2048, 80)"
transpose,misc,[],[],[],{'permute_1'},{'matmul'},"[(2, 32, 2048, 80)]","(2, 32, 80, 2048)"
matmul,BMM,"[['BMM', (64, 2048, 80, 2048)]]","[['BMM', (64, 2048, 2048, 80)], ['BMM', (64, 80, 2048, 2048)]]",[],"{'transpose', 'permute'}","{'getattr_2', 'truediv', 'getattr_3'}","[(2, 32, 2048, 80), (2, 32, 80, 2048)]","(2, 32, 2048, 2048)"
size_8,misc,[],[],[],{'permute_2'},{'pow_1'},"[(2, 32, 2048, 80)]","(1,)"
pow_1,misc,[],[],[],{'size_8'},{'full'},"[(1,)]","(1,)"
getattr_2,misc,[],[],[],{'matmul'},{'full'},"[(2, 32, 2048, 2048)]","(1,)"
getattr_3,misc,[],[],[],{'matmul'},{'full'},"[(2, 32, 2048, 2048)]","(1,)"
full,misc,[],[],[],"{'getattr_2', 'pow_1', 'getattr_3'}",{'truediv'},"[(1,), (1,), (1,)]","(1,)"
truediv,VECdiv,"[['VECdiv', (131072, 2048)]]","[['VECdiv', (131072, 2048)], ['VECdiv', (131072, 2048)]]",[],"{'full', 'matmul'}","{'getattr_8', 'getattr_6', 'to', 'getattr_4', 'getattr_7'}","[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
size_9,misc,[],[],[],{'permute'},{'sub'},"[(2, 32, 2048, 80)]","(1,)"
size_10,misc,[],[],[],{'permute_1'},"{'getitem_11', 'sub'}","[(2, 32, 2048, 80)]","(1,)"
transformer_h_0_attn_bias,misc,[],[],[],set(),{'getitem_11'},[],"(1, 1, 2048, 2048)"
sub,misc,[],[],[],"{'size_10', 'size_9'}",{'getitem_11'},"[(1,), (1,)]","(1,)"
getitem_11,getitem,"[['MEM', ((1, 1, 2048, 2048), (1,), (1,), (1, 1, 2048, 2048))]]","[['MEM', ((1, 1, 2048, 2048), (1,), (1,))], ['MEM', ((1, 1, 2048, 2048), (1,), (1,))]]",[],"{'transformer_h_0_attn_bias', 'sub', 'size_10'}",{'where'},"[(1, 1, 2048, 2048), (1,), (1,)]","(1, 1, 2048, 2048)"
getattr_4,misc,[],[],[],{'truediv'},{'finfo'},"[(2, 32, 2048, 2048)]","(1,)"
finfo,misc,[],[],[],{'getattr_4'},{'getattr_5'},"[(1,)]","(1,)"
getattr_5,misc,[],[],[],{'finfo'},{'full_1'},"[(1,)]","(1,)"
getattr_6,misc,[],[],[],{'truediv'},{'full_1'},"[(2, 32, 2048, 2048)]","(1,)"
getattr_7,misc,[],[],[],{'truediv'},{'full_1'},"[(2, 32, 2048, 2048)]","(1,)"
full_1,misc,[],[],[],"{'getattr_5', 'getattr_7', 'getattr_6'}",{'where'},"[(1,), (1,), (1,)]","(1,)"
getattr_8,misc,[],[],[],{'truediv'},{'to'},"[(2, 32, 2048, 2048)]","(1,)"
to,misc,[],[],[],"{'truediv', 'getattr_8'}",{'where'},"[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
where,where,"[['MEM', ((1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,), (2, 32, 2048, 2048))]]","[['MEM', ((1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,))], ['MEM', ((1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,))]]",[],"{'getitem_11', 'to', 'full_1'}",{'softmax'},"[(1, 1, 2048, 2048), (2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
softmax,VECsoftmax,"[['VECsoftmax', (131072, 2048)]]","[['VECmul', (131072, 2048)], ['VECsoftmax', (131072, 2048)]]",[],{'where'},{'type_1'},"[(2, 32, 2048, 2048)]","(2, 32, 2048, 2048)"
getattr_9,misc,[],[],[],{'permute_2'},{'type_1'},"[(2, 32, 2048, 80)]","(1,)"
type_1,misc,[],[],[],"{'getattr_9', 'softmax'}",{'transformer_h_0_attn_attn_dropout'},"[(2, 32, 2048, 2048), (1,)]","(2, 32, 2048, 2048)"
transformer_h_0_attn_attn_dropout,dropout,"[['MEM', ((2, 32, 2048, 2048), (2, 32, 2048, 2048))]]","[['MEM', ((2, 32, 2048, 2048),)], ['MEM', ((2, 32, 2048, 2048),)]]",[],{'type_1'},{'matmul_1'},"[(2, 32, 2048, 2048)]","(2, 32, 2048, 2048)"
matmul_1,BMM,"[['BMM', (64, 2048, 2048, 80)]]","[['BMM', (64, 2048, 80, 2048)], ['BMM', (64, 2048, 2048, 80)]]",[],"{'transformer_h_0_attn_attn_dropout', 'permute_2'}",{'permute_3'},"[(2, 32, 2048, 2048), (2, 32, 2048, 80)]","(2, 32, 2048, 80)"
permute_3,misc,[],[],[],{'matmul_1'},{'contiguous'},"[(2, 32, 2048, 80)]","(2, 2048, 32, 80)"
contiguous,contiguous,"[['MEM', ((2, 2048, 32, 80), (2, 2048, 32, 80))]]","[['MEM', ((2, 2048, 32, 80),)], ['MEM', ((2, 2048, 32, 80),)]]",[],{'permute_3'},"{'view_6', 'size_11'}","[(2, 2048, 32, 80)]","(2, 2048, 32, 80)"
size_11,misc,[],[],[],{'contiguous'},{'getitem_12'},"[(2, 2048, 32, 80)]","(1,)"
getitem_12,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_11'},{'add_8'},"[(1,)]","(1,)"
add_8,misc,[],[],[],{'getitem_12'},{'view_6'},"[(1,)]","(1,)"
view_6,misc,[],[],[],"{'add_8', 'contiguous'}","{'view_7', 'size_12', 'size_13'}","[(2, 2048, 32, 80), (1,)]","(2, 2048, 2560)"
size_12,misc,[],[],[],{'view_6'},{'getitem_13'},"[(2, 2048, 2560)]","(1,)"
getitem_13,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_12'},{'add_9'},"[(1,)]","(1,)"
add_9,misc,[],[],[],{'getitem_13'},{'view_8'},"[(1,)]","(1,)"
