Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'view', 'size'}",[],"(4, 2048)"
size,misc,[],[],[],{'input_ids'},"{'getitem_3', 'getitem_2', 'getitem'}","[(4, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'input_ids', 'getitem'}","{'transformer_wte', 'size_1', 'getattr_1'}","[(4, 2048), (1,)]","(4, 2048)"
size_1,misc,[],[],[],{'view'},{'getitem_1'},"[(4, 2048)]","(1,)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_1'},set(),"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'arange'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'view'},{'arange'},"[(4, 2048)]","(1,)"
arange,misc,[],[],[],"{'add', 'getattr_1'}",{'unsqueeze'},"[(1,), (1,)]","(2048,)"
unsqueeze,misc,[],[],[],{'arange'},{'transformer_wpe'},"[(2048,)]","(1, 2048)"
transformer_wte,EMBEDDING,"[['MEM', ((4, 2048), (4, 2048, 3072))]]","[('MEM', ((12564, 3072),)), ('MEM', ((12564, 3072),))]","[('VECadd', [1, 38596608])]",{'view'},{'add_1'},"[(4, 2048)]","(4, 2048, 3072)"
reduce_from_tensor_model_parallel_region,allreduce,"[['ALLREDUCE', (25165824,)]]","[['ALLREDUCE', (25165824,)]]",[],set(),set(),[],[]
transformer_wpe,misc,[],[],[],{'unsqueeze'},{'add_1'},"[(1, 2048)]","(1, 2048, 3072)"
add_1,VECadd,"[['VECadd', (8192, 3072)]]","[['MEM', ((8192, 3072),)], ['MEM', ((8192, 3072),)]]",[],"{'transformer_wpe', 'transformer_wte'}",{'transformer_drop'},"[(4, 2048, 3072), (1, 2048, 3072)]","(4, 2048, 3072)"
transformer_drop,dropout,"[['MEM', ((4, 2048, 3072), (4, 2048, 3072))]]","[['MEM', ((4, 2048, 3072),)], ['MEM', ((4, 2048, 3072),)]]",[],{'add_1'},"{'transformer_h_0_ln_1', 'size_2', 'add_10'}","[(4, 2048, 3072)]","(4, 2048, 3072)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add_2'},"[(1,)]","(1,)"
add_2,misc,[],[],[],{'getitem_3'},{'add_3'},"[(1,)]","(1,)"
size_2,misc,[],[],[],{'transformer_drop'},{'add_3'},"[(4, 2048, 3072)]","(1,)"
add_3,misc,[],[],[],"{'add_2', 'size_2'}",{'view_13'},"[(1,), (1,)]","(1,)"
transformer_h_0_ln_1,VECln,"[['VECln', (8192, 3072)]]","[['VECmul', (8192, 3072)]]","[['VECadd', [1, 3072]], ['VECadd', [1, 3072]]]",{'transformer_drop'},"{'size_3', 'size_4', 'view_1'}","[(4, 2048, 3072)]","(4, 2048, 3072)"
size_3,misc,[],[],[],{'transformer_h_0_ln_1'},{'getitem_4'},"[(4, 2048, 3072)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_3'},{'add_4'},"[(1,)]","(1,)"
add_4,misc,[],[],[],{'getitem_4'},{'view_2'},"[(1,)]","(1,)"
transformer_h_0_attn_c_attn_bias,misc,[],[],[],set(),{'addmm'},[],"(9216,)"
size_4,misc,[],[],[],{'transformer_h_0_ln_1'},{'view_1'},"[(4, 2048, 3072)]","(1,)"
view_1,misc,[],[],[],"{'transformer_h_0_ln_1', 'size_4'}",{'addmm'},"[(4, 2048, 3072), (1,)]","(8192, 3072)"
transformer_h_0_attn_c_attn_weight,misc,[],[],[],set(),{'addmm'},[],"(3072, 9216)"
addmm,Linear,"[('Linear', (8192, 3072, 2304))]","[('Linear', (8192, 2304, 3072)), ('Linear', (2304, 8192, 3072))]","[('VECadd', [1, 7077888]), ('VECadd', [1, 2304])]","{'transformer_h_0_attn_c_attn_bias', 'transformer_h_0_attn_c_attn_weight', 'view_1'}",{'view_2'},"[(2304,), (8192, 3072), (8192, 2304)]","(8192, 2304)"
view_2,misc,[],[],[],"{'addmm', 'add_4'}",{'split'},"[(8192, 9216), (1,)]","(4, 2048, 9216)"
