Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'view', 'size'}",[],"(2, 2048)"
size,misc,[],[],[],{'input_ids'},"{'getitem_4', 'getitem_2', 'getitem_1', 'getitem', 'getitem_3'}","[(2, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'input_ids', 'getitem'}",{'model_decoder_embed_tokens'},"[(2, 2048), (1,)]","(2, 2048)"
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((2, 2048), (2, 2048, 2048))]]",[],[],{'view'},"{'getattr_2', 'getattr_1', 'add_5'}","[(2, 2048)]","(2, 2048, 2048)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'ones'},"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'ones'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'model_decoder_embed_tokens'},{'ones'},"[(2, 2048, 2048)]","(1,)"
ones,misc,[],[],[],"{'getitem_1', 'getattr_1', 'add'}","{'size_2', 'size_5', 'getattr_4', 'getitem_9', 'long', 'size_1', 'getattr_6'}","[(1,), (1,), (1,)]","(2, 2048)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},{'add_1'},"[(1,)]","(1,)"
add_1,misc,[],[],[],{'getitem_3'},{'sub'},"[(1,)]","(1,)"
size_1,misc,[],[],[],{'ones'},set(),"[(2, 2048)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size'},"{'expand_1', 'gt', 'sub', 'add_3', 'full', 'expand'}","[(1,)]","(1,)"
size_2,misc,[],[],[],{'ones'},{'getitem_5'},"[(2, 2048)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_2'},{'expand'},"[(1,)]","(1,)"
gt,misc,[],[],[],{'getitem_4'},set(),"[(1,)]","(1,)"
sub,misc,[],[],[],"{'add_1', 'getitem_4'}","{'add_3', 'gt_1'}","[(1,), (1,)]","(1,)"
getattr_2,misc,[],[],[],{'model_decoder_embed_tokens'},"{'finfo', 'to_1', 'finfo_1', 'finfo_2', 'to'}","[(2, 2048, 2048)]","(1,)"
finfo,misc,[],[],[],{'getattr_2'},{'getattr_3'},"[(1,)]","(1,)"
getattr_3,misc,[],[],[],{'finfo'},{'full'},"[(1,)]","(1,)"
getattr_4,misc,[],[],[],{'ones'},"{'arange', 'full'}","[(2, 2048)]","(1,)"
full,misc,[],[],[],"{'getattr_3', 'getattr_4', 'getitem_4'}","{'size_3', 'to', 'size_4', 'masked_fill_'}","[(1,), (1,), (1,)]","(2048, 2048)"
size_3,misc,[],[],[],{'full'},{'arange'},"[(2048, 2048)]","(1,)"
arange,misc,[],[],[],"{'size_3', 'getattr_4'}","{'add_2', 'lt'}","[(1,), (1,)]","(2048,)"
add_2,VECaddu,"[['VECaddu', (1, 2048)]]",[],[],{'arange'},{'view_1'},"[(2048,)]","(2048,)"
size_4,misc,[],[],[],{'full'},{'view_1'},"[(2048, 2048)]","(1,)"
view_1,misc,[],[],[],"{'add_2', 'size_4'}",{'lt'},"[(2048,), (1,)]","(2048, 1)"
lt,misc,[],[],[],"{'arange', 'view_1'}",{'masked_fill_'},"[(2048,), (2048, 1)]","(2048, 2048)"
masked_fill_,misc,[],[],[],"{'lt', 'full'}",set(),"[(2048, 2048), (2048, 2048)]","(2048, 2048)"
to,misc,[],[],[],"{'getattr_2', 'full'}",{'getitem_6'},"[(2048, 2048), (1,)]","(2048, 2048)"
gt_1,misc,[],[],[],{'sub'},set(),"[(1,)]","(1,)"
getitem_6,getitem,"[['MEM', ((2048, 2048), (1, 1, 2048, 2048))]]",[],[],{'to'},{'expand'},"[(2048, 2048)]","(1, 1, 2048, 2048)"
add_3,misc,[],[],[],"{'sub', 'getitem_4'}",{'expand'},"[(1,), (1,)]","(1,)"
expand,misc,[],[],[],"{'getitem_6', 'add_3', 'getitem_4', 'getitem_5'}",{'masked_fill_1'},"[(1, 1, 2048, 2048), (1,), (1,), (1,)]","(2, 1, 2048, 2048)"
size_5,misc,[],[],[],{'ones'},"{'getitem_8', 'getitem_7'}","[(2, 2048)]","(1,)"
getitem_7,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_5'},{'expand_1'},"[(1,)]","(1,)"
getitem_8,getitem,"[['MEM', ((1,), (1,))]]",[],[],{'size_5'},{'expand_1'},"[(1,)]","(1,)"
getitem_9,getitem,"[['MEM', ((2, 2048), (2, 1, 1, 2048))]]",[],[],{'ones'},{'expand_1'},"[(2, 2048)]","(2, 1, 1, 2048)"
expand_1,misc,[],[],[],"{'getitem_4', 'getitem_8', 'getitem_7', 'getitem_9'}",{'to_1'},"[(2, 1, 1, 2048), (1,), (1,), (1,)]","(2, 1, 2048, 2048)"
to_1,misc,[],[],[],"{'getattr_2', 'expand_1'}",{'sub_1'},"[(2, 1, 2048, 2048), (1,)]","(2, 1, 2048, 2048)"
sub_1,misc,[],[],[],{'to_1'},"{'to_2', 'masked_fill'}","[(2, 1, 2048, 2048)]","(2, 1, 2048, 2048)"
