Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape
input_ids,misc,[],[],[],set(),"{'size', 'view'}",[],"(1, 2048)"
size,misc,[],[],[],{'input_ids'},"{'getitem_4', 'getitem_2', 'getitem', 'getitem_3', 'getitem_1'}","[(1, 2048)]","(1,)"
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'view'},"[(1,)]","(1,)"
view,misc,[],[],[],"{'getitem', 'input_ids'}",{'model_decoder_embed_tokens'},"[(1, 2048), (1,)]","(1, 2048)"
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((1, 2048), (1, 2048, 2048))]]","[['MEM', ((50272, 2048),)], ['MEM', ((50272, 2048),)]]","[['VECadd', [1, 102957056]]]",{'view'},"{'add_5', 'getattr_1', 'getattr_2'}","[(1, 2048)]","(1, 2048, 2048)"
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'ones'},"[(1,)]","(1,)"
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add'},"[(1,)]","(1,)"
add,misc,[],[],[],{'getitem_2'},{'ones'},"[(1,)]","(1,)"
getattr_1,misc,[],[],[],{'model_decoder_embed_tokens'},{'ones'},"[(1, 2048, 2048)]","(1,)"
ones,misc,[],[],[],"{'getitem_1', 'getattr_1', 'add'}","{'size_5', 'size_2', 'getitem_9', 'getattr_6', 'size_1', 'long', 'getattr_4'}","[(1,), (1,), (1,)]","(1, 2048)"
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},{'add_1'},"[(1,)]","(1,)"
add_1,misc,[],[],[],{'getitem_3'},{'sub'},"[(1,)]","(1,)"
size_1,misc,[],[],[],{'ones'},set(),"[(1, 2048)]","(1,)"
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size'},"{'add_3', 'gt', 'expand', 'full', 'expand_1', 'sub'}","[(1,)]","(1,)"
size_2,misc,[],[],[],{'ones'},{'getitem_5'},"[(1, 2048)]","(1,)"
getitem_5,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],{'size_2'},{'expand'},"[(1,)]","(1,)"
gt,misc,[],[],[],{'getitem_4'},set(),"[(1,)]","(1,)"
sub,misc,[],[],[],"{'add_1', 'getitem_4'}","{'gt_1', 'add_3'}","[(1,), (1,)]","(1,)"
getattr_2,misc,[],[],[],{'model_decoder_embed_tokens'},"{'finfo_1', 'finfo_2', 'to', 'to_1', 'finfo'}","[(1, 2048, 2048)]","(1,)"
finfo,misc,[],[],[],{'getattr_2'},{'getattr_3'},"[(1,)]","(1,)"
getattr_3,misc,[],[],[],{'finfo'},{'full'},"[(1,)]","(1,)"
getattr_4,misc,[],[],[],{'ones'},"{'full', 'arange'}","[(1, 2048)]","(1,)"
