op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,output_shape,dtype,Name
placeholder,input_ids,{},(),{},"{size: None, getattr_1: None, size_1: None, bert_embeddings_word_embeddings: None}",<class 'torch.Tensor'>,,size,False,,{},[],[],True,"(16, 512)",torch.int64,input_ids
call_method,size,{input_ids: None},"(input_ids,)",{},"{getitem: None, getitem_1: None}",,input_ids,getitem,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(1,)",,size
call_function,<built-in function getitem>,{size: None},"(size, 0)",{},"{ones: None, expand: None}",,size,getitem_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,getitem
call_function,<built-in function getitem>,{size: None},"(size, 1)",{},"{add: None, getitem_2: None, expand: None}",,getitem,add,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,getitem_1
call_function,<built-in function add>,{getitem_1: None},"(getitem_1, 0)",{},{ones: None},,getitem_1,getattr_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,add
call_function,<built-in function getattr>,{input_ids: None},"(input_ids, 'device')",{},{ones: None},,add,ones,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(1,)",,getattr_1
call_function,<built-in method ones of type object at 0x7f807641ed60>,"{getitem: None, add: None, getattr_1: None}","((getitem, add),)",{'device': getattr_1},"{dim: None, dim_1: None, dim_2: None, getitem_3: None}",,getattr_1,bert_embeddings_token_type_ids,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1], [1], [1]]","[True, True, True]",True,"(16, 512)",torch.float32,ones
get_attr,bert.embeddings.token_type_ids,{},(),{},{getitem_2: None},,ones,getitem_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[],[],True,"(1, 512)",torch.int64,bert_embeddings_token_type_ids
call_function,<built-in function getitem>,"{bert_embeddings_token_type_ids: None, getitem_1: None}","(bert_embeddings_token_type_ids, (slice(None, None, None), slice(None, getitem_1, None)))",{},{expand: None},,bert_embeddings_token_type_ids,expand,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1]]","[True, True]",True,"(1, 512)",torch.int64,getitem_2
call_method,expand,"{getitem_2: None, getitem: None, getitem_1: None}","(getitem_2, getitem, getitem_1)",{},{bert_embeddings_token_type_embeddings: None},,getitem_2,dim,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[1, 512], [1], [1]]","[True, True, True]",False,"(16, 512)",torch.int64,expand
call_method,dim,{ones: None},"(ones,)",{},{eq: None},,expand,eq,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(1,)",,dim
call_function,<built-in function eq>,{dim: None},"(dim, 2)",{},{},,dim,dim_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,eq
call_method,dim,{ones: None},"(ones,)",{},{eq_1: None},,eq,eq_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(1,)",,dim_1
call_function,<built-in function eq>,{dim_1: None},"(dim_1, 3)",{},{},,dim_1,dim_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,eq_1
call_method,dim,{ones: None},"(ones,)",{},{eq_2: None},,eq_1,eq_2,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(1,)",,dim_2
call_function,<built-in function eq>,{dim_2: None},"(dim_2, 2)",{},{},,dim_2,getitem_3,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}",[[1]],[True],True,"(1,)",,eq_2
call_function,<built-in function getitem>,{ones: None},"(ones, (slice(None, None, None), None, None, slice(None, None, None)))",{},{to: None},,eq_2,to,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 512]]",[True],True,"(16, 1, 1, 512)",torch.float32,getitem_3
call_method,to,{getitem_3: None},"(getitem_3,)",{'dtype': torch.float32},{sub: None},,getitem_3,sub,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 1, 1, 512]]",[True],True,"(16, 1, 1, 512)",torch.float32,to
call_function,<built-in function sub>,{to: None},"(1.0, to)",{},{mul: None},,to,mul,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 1, 1, 512]]",[True],True,"(16, 1, 1, 512)",torch.float32,sub
call_function,<built-in function mul>,{sub: None},"(sub, -3.4028234663852886e+38)",{},"{add_7: None, add_14: None, add_21: None, add_28: None, add_35: None, add_42: None, add_49: None, add_56: None, add_63: None, add_70: None, add_77: None, add_84: None, add_91: None, add_98: None, add_105: None, add_112: None, add_119: None, add_126: None, add_133: None, add_140: None, add_147: None, add_154: None, add_161: None, add_168: None}",,sub,size_1,False,,"{'nn_module_stack': OrderedDict([('bert', <class 'transformers.models.bert.modeling_bert.BertModel'>)])}","[[16, 1, 1, 512]]",[True],True,"(16, 1, 1, 512)",torch.float32,mul
