NVIDIA_H100_80GB_HBM3
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,31.2,29.7,32.1,29.6,27.0,25.0,34.8,34.2,31.3,28.6,50.7,40.2
Habitat,1822.3,860.5,503.9,215.5,48.9,47.9,324.5,23.3,93.1,28.0,4529.9,2743.5
Li et al.,25.8,28.5,18.2,22.7,34.4,38.1,20.6,21.7,23.7,28.5,8.0,11.6
NeuSight,23.4,13.2,3.1,6.8,6.2,3.9,2.0,4.3,0.7,0.4,6.3,2.5

NVIDIA_L4
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,52.3,54.3,41.9,42.1,48.0,,58.1,,43.2,,,
Habitat,77.5,18.2,22.3,46.0,64.8,,41.5,,52.6,,,
Li et al.,332.7,314.6,282.4,280.8,435.9,,257.4,,359.2,,,
NeuSight,14.6,20.4,11.0,10.3,10.3,,28.2,,7.7,,,

NVIDIA_A100-PCIE-40GB
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,24.5,21.7,15.6,16.7,15.7,21.1,27.4,23.0,16.3,19.8,29.8,22.3
Habitat,10.9,20.9,3.1,8.1,4.3,6.9,1.5,24.1,7.6,0.6,6.8,25.1
Li et al.,10.4,8.6,16.0,11.3,11.8,3.6,1.6,2.5,11.2,5.2,25.7,20.6
NeuSight,5.4,4.5,7.5,8.7,4.1,6.2,4.5,0.4,6.2,1.4,17.6,11.5

Tesla_V100-PCIE-32GB
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,13.9,14.5,9.7,10.4,6.5,,19.7,19.8,8.6,,31.3,25.6
Habitat,2.9,24.6,2.0,7.1,8.5,,11.7,10.1,12.7,,7.0,6.9
Li et al.,26.5,6.5,5.4,12.2,24.1,,0.8,7.8,19.2,,57.6,54.0
NeuSight,5.4,2.9,3.8,4.0,7.2,,6.7,4.8,6.7,,16.1,1.2

Tesla_P100-PCIE-16GB
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,29.1,29.5,28.4,28.4,,,35.4,,,,,
Habitat,9.2,24.0,6.1,9.3,,,2.4,,,,,
Li et al.,8.4,21.4,34.2,56.2,,,41.6,,,,,
NeuSight,19.5,4.2,4.7,6.9,,,0.0,,,,,

Tesla_T4
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,40.2,44.1,48.1,46.1,,,50.7,,,,,
Habitat,10.0,6.3,2.8,0.1,,,13.4,,,,,
Li et al.,19.6,2.0,4.6,30.3,,,24.9,,,,,
NeuSight,35.3,32.5,4.4,8.1,,,12.1,,,,,

Tesla_P4
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,8,16,4,8,2,8,2,8,2,8,1,2
Roofline,53.7,60.5,41.3,,,,,,,,,
Habitat,15.0,21.8,32.9,,,,,,,,,
Li et al.,21.5,44.7,108.4,,,,,,,,,
NeuSight,11.3,4.7,65.3,,,,,,,,,

