NVIDIA_H100_80GB_HBM3
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,2,8,1,4,1,2,1,2,1,2,1,2
Roofline,47.0,34.3,38.8,31.9,25.8,,33.7,33.4,29.8,,43.2,35.1
Habitat,5245.0,1616.5,1995.4,528.3,212.6,,745.5,348.6,297.9,,4016.4,2598.9
Li et al.,3.9,20.2,4.9,18.1,35.2,,20.4,21.2,24.7,,4.8,13.8
NeuSight,14.0,17.6,16.4,1.7,1.2,,1.5,0.1,1.6,,2.6,9.1

NVIDIA_L4
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,2,8,1,4,1,2,1,2,1,2,1,2
Roofline,49.5,52.9,38.7,,,,,,,,,
Habitat,635.1,80.6,152.8,,,,,,,,,
Li et al.,358.8,351.2,280.0,,,,,,,,,
NeuSight,3.3,15.6,2.8,,,,,,,,,

NVIDIA_A100_80GB_PCIe
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,2,8,1,4,1,2,1,2,1,2,1,2
Roofline,41.4,31.0,36.7,20.6,12.2,,22.3,33.5,28.6,,31.1,27.8
Habitat,24.5,76.4,22.5,55.2,33.8,,12.1,43.8,37.0,,30.8,45.1
Li et al.,38.5,27.7,33.0,16.1,8.1,,17.9,29.8,24.8,,27.2,24.0
NeuSight,0.1,0.4,5.2,9.9,27.9,,9.5,4.0,2.2,,11.4,5.4

Tesla_V100-PCIE-32GB
Model,BERT-Large,,GPT2-Large,,GPT3-XL,,OPT-1.3B,,GPT3-2.7B,,SwitchTrans,
Batch,2,8,1,4,1,2,1,2,1,2,1,2
Roofline,22.1,14.7,12.4,,,,,,,,,
Habitat,3.3,3.4,9.5,,,,,,,,,
Li et al.,56.5,24.8,30.9,,,,,,,,,
NeuSight,13.6,3.1,10.0,,,,,,,,,

